Temperatures,410->211/402->201
1.048258596954949606e-01,3.965320536766153037e+00
1.049055750721127750e-01,3.965315575282418958e+00
1.049853510687082242e-01,3.965310403841045161e+00
1.050651877313800719e-01,3.965305006086015549e+00
1.051450851062621789e-01,3.965299364112552905e+00
1.052250432395234331e-01,3.965293458265130244e+00
1.053050621773678752e-01,3.965287266904427455e+00
1.053851419660346983e-01,3.965280766137326385e+00
1.054652826517981784e-01,3.965273929502829198e+00
1.055454842809678967e-01,3.965266727605114561e+00
1.056257468998885174e-01,3.965259127682951412e+00
1.057060705549400653e-01,3.965251093102082347e+00
1.057864552925377871e-01,3.965242582753913059e+00
1.058669011591321929e-01,3.965233550339566371e+00
1.059474082012091950e-01,3.965223943512903304e+00
1.060279764652899692e-01,3.965213702848868760e+00
1.061086059979311491e-01,3.965202760594104703e+00
1.061892968457246872e-01,3.965191039144153606e+00
1.062700490552980354e-01,3.965178449174749709e+00
1.063508626733141171e-01,3.965164887331798838e+00
1.064317377464712444e-01,3.965150233353432530e+00
1.065126743215033533e-01,3.965134346454190606e+00
1.065936724451798379e-01,3.965117060740659394e+00
1.066747321643056884e-01,3.965098179341723927e+00
1.067558535257215335e-01,3.965077466812221729e+00
1.068370365763035013e-01,3.965054639186877949e+00
1.069182813629635243e-01,3.965029350790375773e+00
1.069995879326490623e-01,3.965001176498250235e+00
1.070809563323433522e-01,3.964969587506367965e+00
1.071623866090654076e-01,3.964933917657543549e+00
1.072438788098698526e-01,3.964893315733676538e+00
1.073254329818472685e-01,3.964846676379689239e+00
1.074070491721238890e-01,3.964792537592516375e+00
1.074887274278618771e-01,3.964728924237406638e+00
1.075704677962592698e-01,3.964653101249281164e+00
1.076522703245499230e-01,3.964561169233592697e+00
1.077341350600037051e-01,3.964447371067984172e+00
1.078160620499263173e-01,3.964302835973688932e+00
1.078980513416595288e-01,3.964113145389822623e+00
1.079801029825811221e-01,3.963853192183033780e+00
1.080622170201047810e-01,3.963475023068677494e+00
1.081443935016804109e-01,3.962874200254542512e+00
1.082266324747938463e-01,3.961771921483963510e+00
1.083089339869671430e-01,3.959090437815387276e+00
1.083912980857584946e-01,3.942861489478942882e+00
1.084737248187621489e-01,0.000000000000000000e+00
1.085562142336086860e-01,0.000000000000000000e+00
1.086387663779647961e-01,0.000000000000000000e+00
1.087213812995334872e-01,0.000000000000000000e+00
1.088040590460540441e-01,0.000000000000000000e+00
1.088867996653019865e-01,0.000000000000000000e+00
1.089696032050892494e-01,0.000000000000000000e+00
1.090524697132640441e-01,0.000000000000000000e+00
1.091353992377110393e-01,0.000000000000000000e+00
1.092183918263513187e-01,0.000000000000000000e+00
1.093014475271423258e-01,0.000000000000000000e+00
1.093845663880780861e-01,0.000000000000000000e+00
1.094677484571889986e-01,0.000000000000000000e+00
1.095509937825420860e-01,0.000000000000000000e+00
1.096343024122409110e-01,0.000000000000000000e+00
1.097176743944255489e-01,0.000000000000000000e+00
1.098011097772727956e-01,0.000000000000000000e+00
1.098846086089959456e-01,0.000000000000000000e+00
1.099681709378450972e-01,0.000000000000000000e+00
1.100517968121069029e-01,0.000000000000000000e+00
1.101354862801048606e-01,0.000000000000000000e+00
1.102192393901991613e-01,0.000000000000000000e+00
1.103030561907867302e-01,0.000000000000000000e+00
1.103869367303013799e-01,0.000000000000000000e+00
1.104708810572137129e-01,0.000000000000000000e+00
1.105548892200311495e-01,0.000000000000000000e+00
1.106389612672980943e-01,0.000000000000000000e+00
1.107230972475957559e-01,0.000000000000000000e+00
1.108072972095424102e-01,0.000000000000000000e+00
1.108915612017931651e-01,0.000000000000000000e+00
1.109758892730402374e-01,0.000000000000000000e+00
1.110602814720128700e-01,0.000000000000000000e+00
1.111447378474772762e-01,0.000000000000000000e+00
1.112292584482368479e-01,0.000000000000000000e+00
1.113138433231320029e-01,0.000000000000000000e+00
1.113984925210403792e-01,0.000000000000000000e+00
1.114832060908767658e-01,0.000000000000000000e+00
1.115679840815930884e-01,0.000000000000000000e+00
1.116528265421786043e-01,0.000000000000000000e+00
1.117377335216596795e-01,0.000000000000000000e+00
1.118227050691001090e-01,0.000000000000000000e+00
1.119077412336009630e-01,0.000000000000000000e+00
1.119928420643005462e-01,0.000000000000000000e+00
1.120780076103746747e-01,0.000000000000000000e+00
1.121632379210364544e-01,0.000000000000000000e+00
1.122485330455364749e-01,0.000000000000000000e+00
1.123338930331627822e-01,0.000000000000000000e+00
1.124193179332408227e-01,0.000000000000000000e+00
1.125048077951336933e-01,0.000000000000000000e+00
1.125903626682418640e-01,0.000000000000000000e+00
1.126759826020034966e-01,0.000000000000000000e+00
1.127616676458943340e-01,0.000000000000000000e+00
1.128474178494276586e-01,0.000000000000000000e+00
1.129332332621545282e-01,0.000000000000000000e+00
1.130191139336635536e-01,0.000000000000000000e+00
1.131050599135811352e-01,0.000000000000000000e+00
1.131910712515714484e-01,0.000000000000000000e+00
1.132771479973363055e-01,0.000000000000000000e+00
1.133632902006154741e-01,0.000000000000000000e+00
1.134494979111863866e-01,0.000000000000000000e+00
1.135357711788644308e-01,0.000000000000000000e+00
1.136221100535029088e-01,0.000000000000000000e+00
1.137085145849928980e-01,0.000000000000000000e+00
1.137949848232635702e-01,0.000000000000000000e+00
1.138815208182819283e-01,0.000000000000000000e+00
1.139681226200530695e-01,0.000000000000000000e+00
1.140547902786201023e-01,0.000000000000000000e+00
1.141415238440641328e-01,0.000000000000000000e+00
1.142283233665044306e-01,0.000000000000000000e+00
1.143151888960983048e-01,0.000000000000000000e+00
1.144021204830412558e-01,0.000000000000000000e+00
1.144891181775669758e-01,0.000000000000000000e+00
1.145761820299472655e-01,0.000000000000000000e+00
1.146633120904922698e-01,0.000000000000000000e+00
1.147505084095502836e-01,0.000000000000000000e+00
1.148377710375080019e-01,0.000000000000000000e+00
1.149251000247903109e-01,0.000000000000000000e+00
1.150124954218605250e-01,0.000000000000000000e+00
1.150999572792203718e-01,0.000000000000000000e+00
