R1  
Electric field / N (Td)                    1.976    
Angular field frequency / N (m3/s)         0.000    
Gas temperature (K)                        300.0    
Ionization degree                          0.000    
Electron density (1/m3)                   0.1000E+19
Longitudinal diffusion                     1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Grid type                                  3.000    
Maximum energy                             10.11    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    100.0    
Mole fraction He                           1.000    
Energy (eV) EEDF (eV-3/2) Anisotropy
  0.9012    	  0.4391    	  0.1693E-01
  0.9898    	  0.4233    	  0.1865E-01
   1.081    	  0.4062    	  0.2042E-01
   1.174    	  0.3877    	  0.2224E-01
   1.270    	  0.3680    	  0.2409E-01
   1.369    	  0.3473    	  0.2600E-01
   1.470    	  0.3257    	  0.2796E-01
   1.573    	  0.3034    	  0.2993E-01
   1.679    	  0.2808    	  0.3194E-01
   1.787    	  0.2581    	  0.3398E-01
   1.898    	  0.2354    	  0.3605E-01
   2.011    	  0.2131    	  0.3816E-01
   2.126    	  0.1914    	  0.4030E-01
   2.244    	  0.1705    	  0.4247E-01
   2.365    	  0.1506    	  0.4466E-01
   2.488    	  0.1319    	  0.4685E-01
   2.613    	  0.1144    	  0.4905E-01
   2.741    	  0.9844E-01	  0.5127E-01
   2.871    	  0.8389E-01	  0.5351E-01
   3.004    	  0.7082E-01	  0.5575E-01
   3.139    	  0.5923E-01	  0.5799E-01
   3.276    	  0.4907E-01	  0.6020E-01
   3.416    	  0.4027E-01	  0.6243E-01
   3.559    	  0.3274E-01	  0.6464E-01
   3.704    	  0.2636E-01	  0.6682E-01
   3.851    	  0.2103E-01	  0.6900E-01
   4.001    	  0.1663E-01	  0.7118E-01
   4.153    	  0.1302E-01	  0.7336E-01
   4.308    	  0.1010E-01	  0.7554E-01
   4.465    	  0.7758E-02	  0.7772E-01
   4.625    	  0.5905E-02	  0.7988E-01
   4.787    	  0.4453E-02	  0.8202E-01
   4.952    	  0.3328E-02	  0.8415E-01
   5.119    	  0.2464E-02	  0.8629E-01
   5.288    	  0.1808E-02	  0.8844E-01
   5.460    	  0.1314E-02	  0.9058E-01
   5.634    	  0.9464E-03	  0.9268E-01
   5.811    	  0.6758E-03	  0.9475E-01
   5.990    	  0.4784E-03	  0.9679E-01
   6.172    	  0.3358E-03	  0.9885E-01
   6.356    	  0.2337E-03	  0.1009    
   6.543    	  0.1613E-03	  0.1029    
   6.732    	  0.1105E-03	  0.1048    
   6.923    	  0.7523E-04	  0.1065    
   7.117    	  0.5088E-04	  0.1083    
   7.314    	  0.3414E-04	  0.1103    
   7.512    	  0.2273E-04	  0.1122    
   7.714    	  0.1504E-04	  0.1139    
   7.918    	  0.9903E-05	  0.1155    
   8.124    	  0.6491E-05	  0.1170    
   8.332    	  0.4230E-05	  0.1187    
   8.543    	  0.2741E-05	  0.1204    
   8.757    	  0.1768E-05	  0.1219    
   8.973    	  0.1136E-05	  0.1233    
   9.191    	  0.7268E-06	  0.1247    
   9.412    	  0.4633E-06	  0.1261    
   9.636    	  0.2943E-06	  0.1274    
   9.861    	  0.1867E-06	  0.1284    
   10.09    	  0.1184E-06	  0.1294    
   10.32    	  0.7483E-07	  0.1307    
   10.55    	  0.4719E-07	  0.1318    
   10.79    	  0.2970E-07	  0.1329    
   11.03    	  0.1867E-07	  0.1339    
   11.27    	  0.1173E-07	  0.1348    
   11.51    	  0.7365E-08	  0.1356    
   11.76    	  0.4628E-08	  0.1363    
   12.00    	  0.2911E-08	  0.1370    
   12.25    	  0.1831E-08	  0.1379    
   12.51    	  0.1148E-08	  0.1390    
   12.76    	  0.7192E-09	  0.1401    
   13.02    	  0.4498E-09	  0.1410    
   13.28    	  0.2810E-09	  0.1420    
   13.54    	  0.1755E-09	  0.1428    
   13.81    	  0.1095E-09	  0.1436    
   14.07    	  0.6842E-10	  0.8863E-01


R3  
Electric field / N (Td)                    3.927    
Angular field frequency / N (m3/s)         0.000    
Gas temperature (K)                        300.0    
Ionization degree                          0.000    
Electron density (1/m3)                   0.1000E+19
Longitudinal diffusion                     1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Grid type                                  3.000    
Maximum energy                             22.90    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    100.0    
Mole fraction He                           1.000    
Energy (eV) EEDF (eV-3/2) Anisotropy
  0.6114E-01	  0.3355    	  0.1515E-02
  0.1845    	  0.3346    	  0.2367E-02
  0.3100    	  0.3324    	  0.4122E-02
  0.4377    	  0.3289    	  0.5961E-02
  0.5675    	  0.3240    	  0.7850E-02
  0.6995    	  0.3177    	  0.9786E-02
  0.8336    	  0.3098    	  0.1177E-01
  0.9699    	  0.3006    	  0.1378E-01
   1.108    	  0.2900    	  0.1583E-01
   1.249    	  0.2781    	  0.1790E-01
   1.392    	  0.2652    	  0.2000E-01
   1.537    	  0.2512    	  0.2213E-01
   1.684    	  0.2364    	  0.2427E-01
   1.833    	  0.2210    	  0.2641E-01
   1.984    	  0.2052    	  0.2858E-01
   2.138    	  0.1892    	  0.3076E-01
   2.293    	  0.1732    	  0.3295E-01
   2.451    	  0.1574    	  0.3513E-01
   2.611    	  0.1420    	  0.3728E-01
   2.773    	  0.1272    	  0.3943E-01
   2.938    	  0.1132    	  0.4160E-01
   3.104    	  0.9989E-01	  0.4373E-01
   3.273    	  0.8756E-01	  0.4581E-01
   3.444    	  0.7623E-01	  0.4789E-01
   3.617    	  0.6590E-01	  0.4992E-01
   3.792    	  0.5659E-01	  0.5191E-01
   3.969    	  0.4828E-01	  0.5389E-01
   4.148    	  0.4093E-01	  0.5585E-01
   4.330    	  0.3447E-01	  0.5780E-01
   4.514    	  0.2884E-01	  0.5972E-01
   4.700    	  0.2399E-01	  0.6161E-01
   4.888    	  0.1983E-01	  0.6347E-01
   5.078    	  0.1630E-01	  0.6531E-01
   5.270    	  0.1331E-01	  0.6716E-01
   5.465    	  0.1081E-01	  0.6897E-01
   5.661    	  0.8730E-02	  0.7075E-01
   5.860    	  0.7012E-02	  0.7248E-01
   6.061    	  0.5602E-02	  0.7418E-01
   6.264    	  0.4453E-02	  0.7589E-01
   6.469    	  0.3521E-02	  0.7755E-01
   6.677    	  0.2772E-02	  0.7911E-01
   6.887    	  0.2174E-02	  0.8055E-01
   7.098    	  0.1699E-02	  0.8202E-01
   7.312    	  0.1322E-02	  0.8360E-01
   7.528    	  0.1023E-02	  0.8511E-01
   7.746    	  0.7900E-03	  0.8642E-01
   7.967    	  0.6084E-03	  0.8764E-01
   8.189    	  0.4673E-03	  0.8890E-01
   8.414    	  0.3579E-03	  0.9020E-01
   8.641    	  0.2733E-03	  0.9143E-01
   8.870    	  0.2083E-03	  0.9255E-01
   9.101    	  0.1585E-03	  0.9364E-01
   9.334    	  0.1203E-03	  0.9473E-01
   9.570    	  0.9124E-04	  0.9572E-01
   9.807    	  0.6913E-04	  0.9654E-01
   10.05    	  0.5239E-04	  0.9732E-01
   10.29    	  0.3967E-04	  0.9821E-01
   10.53    	  0.3001E-04	  0.9909E-01
   10.78    	  0.2269E-04	  0.9992E-01
   11.03    	  0.1715E-04	  0.1007    
   11.28    	  0.1296E-04	  0.1013    
   11.53    	  0.9805E-05	  0.1019    
   11.79    	  0.7423E-05	  0.1024    
   12.04    	  0.5627E-05	  0.1030    
   12.30    	  0.4265E-05	  0.1037    
   12.56    	  0.3230E-05	  0.1046    
   12.83    	  0.2444E-05	  0.1054    
   13.09    	  0.1849E-05	  0.1061    
   13.36    	  0.1399E-05	  0.1068    
   13.63    	  0.1058E-05	  0.1075    
   13.90    	  0.8006E-06	  0.1081    
   14.18    	  0.6061E-06	  0.1087    
   14.45    	  0.4592E-06	  0.1093    
   14.73    	  0.3481E-06	  0.1098    
   15.01    	  0.2642E-06	  0.1104    
   15.30    	  0.2007E-06	  0.1110    
   15.58    	  0.1526E-06	  0.1117    
   15.87    	  0.1161E-06	  0.1125    
   16.16    	  0.8841E-07	  0.1133    
   16.45    	  0.6733E-07	  0.1144    
   16.74    	  0.5126E-07	  0.1157    
   17.04    	  0.3900E-07	  0.1173    
   17.34    	  0.2964E-07	  0.1193    
   17.64    	  0.2248E-07	  0.1218    
   17.94    	  0.1699E-07	  0.1251    
   18.24    	  0.1278E-07	  0.1296    
   18.55    	  0.9531E-08	  0.1356    
   18.86    	  0.7027E-08	  0.1440    
   19.17    	  0.5092E-08	  0.1562    
   19.48    	  0.3586E-08	  0.1749    
   19.80    	  0.2412E-08	  0.2035    
   20.12    	  0.1513E-08	  0.2368    
   20.43    	  0.9108E-09	  0.2580    
   20.76    	  0.5332E-09	  0.2739    
   21.08    	  0.3056E-09	  0.2861    
   21.41    	  0.1737E-09	  0.2937    
   21.73    	  0.9798E-10	  0.2993    
   22.06    	  0.5561E-10	  0.1906    


R4  
Electric field / N (Td)                    4.902    
Angular field frequency / N (m3/s)         0.000    
Gas temperature (K)                        300.0    
Ionization degree                          0.000    
Electron density (1/m3)                   0.1000E+19
Longitudinal diffusion                     1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Grid type                                  3.000    
Maximum energy                             27.02    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    100.0    
Mole fraction He                           1.000    
Energy (eV) EEDF (eV-3/2) Anisotropy
  0.7184E-01	  0.2347    	  0.1444E-02
  0.2168    	  0.2341    	  0.2260E-02
  0.3643    	  0.2328    	  0.3935E-02
  0.5144    	  0.2305    	  0.5679E-02
  0.6670    	  0.2274    	  0.7475E-02
  0.8222    	  0.2234    	  0.9317E-02
  0.9800    	  0.2184    	  0.1119E-01
   1.140    	  0.2125    	  0.1310E-01
   1.303    	  0.2057    	  0.1504E-01
   1.469    	  0.1981    	  0.1700E-01
   1.637    	  0.1898    	  0.1898E-01
   1.807    	  0.1808    	  0.2096E-01
   1.980    	  0.1713    	  0.2296E-01
   2.156    	  0.1613    	  0.2497E-01
   2.334    	  0.1510    	  0.2699E-01
   2.515    	  0.1405    	  0.2900E-01
   2.698    	  0.1299    	  0.3099E-01
   2.884    	  0.1194    	  0.3297E-01
   3.072    	  0.1092    	  0.3493E-01
   3.263    	  0.9917E-01	  0.3685E-01
   3.457    	  0.8959E-01	  0.3874E-01
   3.653    	  0.8047E-01	  0.4060E-01
   3.852    	  0.7190E-01	  0.4242E-01
   4.053    	  0.6390E-01	  0.4422E-01
   4.256    	  0.5649E-01	  0.4600E-01
   4.463    	  0.4968E-01	  0.4776E-01
   4.672    	  0.4347E-01	  0.4948E-01
   4.883    	  0.3785E-01	  0.5117E-01
   5.097    	  0.3280E-01	  0.5285E-01
   5.314    	  0.2829E-01	  0.5452E-01
   5.533    	  0.2428E-01	  0.5615E-01
   5.754    	  0.2075E-01	  0.5774E-01
   5.979    	  0.1766E-01	  0.5929E-01
   6.205    	  0.1497E-01	  0.6083E-01
