Temperatures,+-,Metastables,+-
2.411060442498020393e+02,4.897953368579051130e+02,6.871047064222169531e+13,5.576041820868944531e+13
2.584362748071745841e+02,5.255451644029810723e+02,6.888034433546408594e+13,5.612717355790727344e+13
2.451029318685646103e+02,6.920033040655072227e+02,4.622458913493013281e+13,5.215252497544303906e+13
2.320450005540664904e+02,6.860549602762863515e+02,4.205606831268265625e+13,4.966679165809896875e+13
1.274639357995098399e+05,5.668465514676698484e+06,3.031618392644183750e+14,7.021469111309814000e+15
1.180570899572216877e+05,1.625678471412936226e+06,3.638623050203436875e+14,2.582376563090431500e+15
7.047198814492342353e+04,1.483074179955158324e+05,5.678888288898043750e+14,2.624052186419999688e+14
4.390195146574735554e+04,1.469646464929589711e+05,6.315403609723618750e+14,7.256576522962558750e+14
4.717251254062322550e+04,1.512219263691468805e+05,6.121803187688453750e+14,6.025934675436783750e+14
1.098875530671748311e+04,4.538406328405770182e+04,3.024203315146686250e+14,5.059210286954430625e+14
5.094371039029679378e+04,1.348696744500538043e+05,5.593288659100119375e+14,3.892923737958815625e+14
6.758961853359379165e+04,1.292247792917111074e+05,5.426767616510631875e+14,2.038775111731061250e+14
1.083096849021710950e+05,7.973310802860929398e+05,3.838309914252226875e+14,1.400451315018286750e+15
1.959672512225306775e+02,4.816160395948244854e+02,5.123734438631044531e+13,4.993961375148335938e+13
1.735361323332017491e+02,3.823809365210678379e+02,5.738227036797767969e+13,4.975861636528393750e+13
1.112498678712721869e+02,3.065557766199034972e+02,4.163547502588941406e+13,4.415907484023268750e+13
6.180503188443913842e+01,2.932543353669077533e+02,2.078691143179473438e+13,3.647519326450704688e+13
2.487695372825853326e+02,4.363961260621840665e+03,-6.588859687415599609e+12,4.622425775571064844e+13
2.326013310875543709e+02,8.631103240916955883e+02,-3.465486546701967578e+13,5.127919966782679688e+13
2.575996803030050160e+02,1.230368800064317384e+03,-2.927205509783059375e+13,5.598048356438488281e+13
2.937858589321668319e+02,4.492166147798703605e+03,-9.544886944948626953e+12,5.873277818035313281e+13
7.074657202104624787e+00,2.149559746722404086e+01,3.162853101178446875e+13,2.738050462506846875e+13
7.522009525419122156e+00,1.522105910609436918e+01,4.460423006107052344e+13,2.586236053772246094e+13
3.185888734018394430e+01,4.579980072495204269e+01,6.156157728441998438e+13,3.082024723426557422e+13
3.035344485227826183e+01,4.199446955166990847e+01,6.001699751809738281e+13,2.874392376182755469e+13
3.216598371075601648e+01,5.339667252942913933e+01,5.661721000878758594e+13,3.277033058820016797e+13
6.114336019732450040e+02,1.387809740345839373e+03,7.143752558510176562e+13,6.676024691588547656e+13
3.267567571397709969e+01,1.233506261858168926e+02,2.750823870977710156e+13,3.623692462572352344e+13
1.709381819490231237e+03,2.993046467347900034e+03,1.319418796457175938e+14,9.423525570912856250e+13
2.027773281266521053e+03,3.427971944388799784e+03,1.562878771936715000e+14,1.059063121528118281e+14
7.568951217693738727e+03,1.932662366727265544e+04,3.172997691167850625e+14,3.122238723069808125e+14
1.312225139790276298e+05,3.590076106466695201e+06,6.298723293259480000e+14,8.952119186861930000e+15
1.302792131420755322e+05,3.881642626026153099e+06,5.681671111413057500e+14,8.809535669885339000e+15
1.303292593726273626e+05,3.848632661664748564e+06,5.985643453177286250e+14,9.203045291269148000e+15
2.058388091046892328e+02,3.271919257316341145e+02,8.547534867909175000e+13,5.398336106012001562e+13
3.302516899876454026e+00,6.101945740655364325e+00,4.508724861734240625e+13,2.199663525051230078e+13
5.724687341176577071e+00,9.222007056757810517e+00,4.502031917017750781e+13,2.033534890805607422e+13
6.108009822214680753e+03,1.649430356550647775e+04,1.754035418866839688e+14,1.787081110995178750e+14
1.004724534328772023e+01,3.699394197972158338e+01,2.202877581804798828e+13,2.409512863901715625e+13
1.707510918658502987e+03,3.264147944558540985e+03,1.022898308536673594e+14,7.968198844693739062e+13
9.392041322759318973e+02,1.600518444430776754e+03,1.018221357928494062e+14,7.200127470543920312e+13
7.396924311328464228e+02,1.202448696794959460e+03,9.818712193024473438e+13,6.598234563591410156e+13
5.280727279007669495e+02,7.676659699098057672e+02,9.513260660593353125e+13,5.671264698459008594e+13
5.123560630649431005e+02,6.655319342247405530e+02,1.078337064231868281e+14,5.736381837226142188e+13
8.665676725611230722e+03,2.685565784098669974e+04,2.801310094110815000e+14,3.403836875358450000e+14
1.607486331417626388e+04,8.022792833695658192e+04,4.026728295205862500e+14,8.564291483626483750e+14
1.301719466704095539e+05,3.402448905617294367e+06,6.898707601412787500e+14,9.384335280613998000e+15
1.266768188796817412e+05,2.066110609243041603e+06,7.807013072793593750e+14,6.630991561986154000e+15
1.290783431309911975e+05,3.013865720369121991e+06,6.757847237024617500e+14,8.219990737074037000e+15
1.195069472636344265e+01,2.376838099937432602e+01,4.346499377722579688e+13,2.636451111533901953e+13
1.317305588072021783e+05,5.170963948912519030e+06,3.832980415153051250e+14,7.826308786580644000e+15
1.410714011842516236e+01,4.527950777556832662e+01,2.641984264985283594e+13,2.651969479716491406e+13
2.137091650374160778e+01,1.130488744027968124e+02,1.643435479111030664e+13,2.885228126748372266e+13
2.441337145404614972e+01,1.131457170386832871e+02,1.978146981346577734e+13,3.094320765971469531e+13
1.080432473952049861e+02,3.822855197469421569e+02,3.370543539750049609e+13,4.580228030991040625e+13
1.254287417676340795e+02,2.399631886099356848e+02,6.293634508438531250e+13,4.667182437850018750e+13
1.674064949038348686e+02,2.947647840007712148e+02,8.011736798574673438e+13,5.549738442674096875e+13
1.995462670642693865e+02,3.818122549285092759e+02,6.865422021323478125e+13,5.208829876690713281e+13
3.071009298590759863e+04,3.467878582212376641e+05,3.055681576001619375e+14,1.501241964531376250e+15
4.864890820888653252e+04,1.832979413639552949e+05,4.683592040055076250e+14,5.094799990125753750e+14
1.278526698054733715e+05,5.432262787771877833e+06,4.089453660192582500e+14,9.031041608575604000e+15
4.222151721217559498e+03,1.198301348984540891e+04,1.589026121916837500e+14,1.685980641974273125e+14
1.504108900075651718e+03,2.551603852878275575e+03,1.397291379341020156e+14,9.743694777429584375e+13
3.071563971564326494e+03,7.507708747506931104e+03,1.408614556723803125e+14,1.315778060638272344e+14
3.295271064938305244e+03,9.877984108138316515e+03,1.255693822827178125e+14,1.426287447689912812e+14
8.424194031211629408e+03,4.016869574314541387e+04,1.985745119857509062e+14,3.700966157040592500e+14
1.301896104313087271e+05,6.239600535165306181e+06,4.171931106132171250e+14,1.040054201957814400e+16
1.294871090114005347e+05,5.742907985572831705e+06,4.583293087662409375e+14,1.058599599714609200e+16
1.271775631170061970e+05,3.663488155589721166e+06,5.597521461544878125e+14,8.397446074533233000e+15
1.289758920350994158e+05,4.503688654272491112e+06,5.183754392068202500e+14,9.424989806380358000e+15
1.304338956060273194e+05,5.284646356201522984e+06,4.644174334330810625e+14,9.798314597638634000e+15
1.303765430956370692e+05,6.436270336023750715e+06,3.704729330836436250e+14,9.523865032177558000e+15
1.303125119753721083e+05,8.554618765821458772e+06,2.809919958033047188e+14,9.591766801180450000e+15
1.279673293680467177e+05,6.696495330889095552e+06,2.948166515951151875e+14,8.034626335965814000e+15
1.250459304880007548e+05,5.675275255852962844e+06,2.381091838983383750e+14,5.613587598256241000e+15
1.579873431094097169e+00,4.589865019787536582e+00,3.279186724440901562e+13,1.965037719831178516e+13
4.923763107173003846e+02,8.504443066204613615e+02,7.935613289527553125e+13,5.612309174486911719e+13
4.418065676733308464e+02,7.766164435952356371e+02,8.438611177622671875e+13,6.056811765903667188e+13
2.178458385338421177e+00,7.033574029769247282e+00,3.335196725674282812e+13,2.541298303286352344e+13
6.655727276475534018e+04,1.904181388620763901e+05,5.093251995707105625e+14,2.769652472388081250e+14
1.978052621428323334e+02,1.366609535285167112e+03,-2.148877726260341016e+13,5.876135317393646094e+13
2.338111429205992238e+02,6.065733563530850461e+02,-5.564807320020981250e+13,5.757262502751917969e+13
2.708653609818392169e+02,5.254473617384630870e+02,-7.551692446277300000e+13,5.874984431850254688e+13
3.615727865220015360e+02,6.503243374311938396e+02,-9.142099816966010938e+13,6.660901748870817969e+13
3.256094460336142902e+02,7.445908080808612794e+02,-6.857230889506110938e+13,6.330789044299060156e+13
3.507136894640347009e+02,8.080099732919296912e+03,-6.815635231102409180e+12,6.357894994902456250e+13
2.082357188373566146e+02,5.681856659563604808e+02,4.894773951219928906e+13,5.304748678205547656e+13
2.158135757579451877e+02,3.710230227593655741e+02,7.683677786812387500e+13,5.255774854427535938e+13
