3.000000000000000000e+00,3.371737900841618601e-07
4.000000000000000000e+00,3.371974829328784129e-07
5.000000000000000000e+00,3.372158604284168920e-07
6.000000000000000000e+00,3.372291162108188564e-07
7.000000000000000000e+00,3.372374389138324981e-07
8.000000000000000000e+00,3.372409948817659305e-07
9.000000000000000000e+00,3.372399212525203199e-07
1.000000000000000000e+01,3.372343259556801976e-07
1.100000000000000000e+01,3.372242912580134350e-07
1.200000000000000000e+01,3.372098785119435047e-07
1.300000000000000000e+01,3.371911328102078663e-07
1.400000000000000000e+01,3.371680869870430329e-07
1.500000000000000000e+01,3.371407648245741122e-07
1.600000000000000000e+01,3.371091835194595581e-07
1.700000000000000000e+01,3.370733555347577680e-07
1.800000000000000000e+01,3.370332899703844104e-07
1.900000000000000000e+01,3.369889935691194275e-07
2.000000000000000000e+01,3.369404714520365621e-07
2.100000000000000000e+01,3.368877276552255734e-07
2.200000000000000000e+01,3.368307655213929322e-07
2.300000000000000000e+01,3.367695879856983831e-07
2.400000000000000000e+01,3.367041977845073262e-07
2.500000000000000000e+01,3.366345976078820524e-07
2.600000000000000000e+01,3.365607902109246484e-07
2.700000000000000000e+01,3.364827784949460456e-07
2.800000000000000000e+01,3.364005655664539778e-07
2.900000000000000000e+01,3.363141547797939425e-07
3.000000000000000000e+01,3.362235497677153912e-07
3.100000000000000000e+01,3.361287544630064329e-07
3.200000000000000000e+01,3.360297731135100870e-07
3.300000000000000000e+01,3.359266102922364277e-07
3.400000000000000000e+01,3.358192709038394743e-07
3.500000000000000000e+01,3.357077601884041161e-07
3.600000000000000000e+01,3.355920837232461114e-07
3.700000000000000000e+01,3.354722474232489938e-07
3.800000000000000000e+01,3.353482575401322364e-07
3.900000000000000000e+01,3.352201206609405683e-07
4.000000000000000000e+01,3.350878437059744616e-07
4.100000000000000000e+01,3.349514339263247885e-07
4.200000000000000000e+01,3.348108989011316116e-07
4.300000000000000000e+01,3.346662465346575786e-07
4.400000000000000000e+01,3.345174850532413042e-07
4.500000000000000000e+01,3.343646230021789118e-07
4.600000000000000000e+01,3.342076692425683598e-07
4.700000000000000000e+01,3.340466329481410618e-07
4.800000000000000000e+01,3.338815236020980595e-07
4.900000000000000000e+01,3.337123509939612309e-07
5.000000000000000000e+01,3.335391252164478445e-07
