Temperatures,+-
2.820644284237017740e-01,-6.690181566448942796e-01
2.822779633325259163e-01,-6.695907344113964932e-01
2.824916810081303242e-01,-6.701628123884398880e-01
2.827058118062926728e-01,-6.707349356163844201e-01
2.829205633537780762e-01,-6.713077241293355923e-01
2.831360959356075679e-01,-6.718815271871174666e-01
2.833525435129454761e-01,-6.724566948355342744e-01
2.835700085604809795e-01,-6.730335203841039116e-01
2.837885477775872745e-01,-6.736122129743797871e-01
2.840082521255772319e-01,-6.741928865071044052e-01
2.842291294868840024e-01,-6.747757869338626424e-01
2.844512004469212374e-01,-6.753607712549984932e-01
2.846744632417241294e-01,-6.759479742882132935e-01
2.848989028020311731e-01,-6.765373515523656067e-01
2.851244866950710666e-01,-6.771288612356026748e-01
2.853511783576512806e-01,-6.777224066381325462e-01
2.855789249796366613e-01,-6.783179699273300667e-01
2.858076721540861453e-01,-6.789153253774613539e-01
2.860373560438335683e-01,-6.795143575865617569e-01
2.862679006322170761e-01,-6.801149488554980582e-01
2.864992324682641978e-01,-6.807168207304105101e-01
2.867312717855208803e-01,-6.813200112101481798e-01
2.869639263537900886e-01,-6.819241163398654937e-01
2.871971316368512328e-01,-6.825290731279696210e-01
2.874307883009736275e-01,-6.831346278980533482e-01
2.876648101161440874e-01,-6.837406459495288802e-01
2.878991031953713753e-01,-6.843468291120994307e-01
2.881335953938298777e-01,-6.849530138248124400e-01
2.883681839825352755e-01,-6.855590980701233850e-01
2.886027704293806506e-01,-6.861646688841216424e-01
2.888372976911401380e-01,-6.867697819117384306e-01
2.890716663671207276e-01,-6.873740236807293069e-01
2.893057754029647599e-01,-6.879773435634389811e-01
2.895395869627811480e-01,-6.885794852442050917e-01
2.897729876911252500e-01,-6.891802927673611467e-01
2.900059111332823902e-01,-6.897795643832451695e-01
2.902382831461515766e-01,-6.903771674144772996e-01
2.904700320897852794e-01,-6.909729797520771655e-01
2.907010889082273786e-01,-6.915666850544615052e-01
2.909313832732341454e-01,-6.921582808908913753e-01
2.911610606952209079e-01,-6.927479938384928371e-01
2.913902573091726178e-01,-6.933362867896361026e-01
2.916191571810614613e-01,-6.939235125301580487e-01
2.918478706832684511e-01,-6.945100063968426829e-01
2.920765327751831952e-01,-6.950960084582596954e-01
2.923052333432321626e-01,-6.956818484520489454e-01
2.925340315369389099e-01,-6.962676478469526087e-01
2.927630198045253485e-01,-6.968536413548991337e-01
2.929922244267808007e-01,-6.974398340210758995e-01
2.932216983872200644e-01,-6.980264242375764372e-01
2.934514600510770843e-01,-6.986134370887359113e-01
2.936815288775448951e-01,-6.992009407740449323e-01
2.939119040607758859e-01,-6.997889914075627882e-01
2.941426062555131948e-01,-7.003775368415392499e-01
2.943736150522848205e-01,-7.009665716842607974e-01
2.946049121055474007e-01,-7.015561233807036112e-01
2.948364817619771872e-01,-7.021461305069419678e-01
2.950683029099601118e-01,-7.027364370827042794e-01
2.953003385982854168e-01,-7.033271337920480315e-01
2.955325592848124794e-01,-7.039180725156454210e-01
2.957649258678842208e-01,-7.045091777032888025e-01
2.959973966735592876e-01,-7.051002813697542226e-01
2.962299535513221449e-01,-7.056914803059350927e-01
2.964625187583184163e-01,-7.062825361532063528e-01
2.966950781774954082e-01,-7.068732777701880465e-01
2.969275636236311522e-01,-7.074637727969622647e-01
2.971599352158271756e-01,-7.080538488172504197e-01
2.973921422731806152e-01,-7.086433590785883307e-01
2.976241452320823044e-01,-7.092321624484096976e-01
2.978558871634405802e-01,-7.098202261297689164e-01
2.980873226960734645e-01,-7.104073272388482518e-01
2.983184092923016895e-01,-7.109935213905460571e-01
2.985490825016435812e-01,-7.115785636518022761e-01
2.987793082067440875e-01,-7.121624344145549568e-01
2.990090379122873343e-01,-7.127449668128248428e-01
2.992382362275768926e-01,-7.133260235169331942e-01
2.994668521960480723e-01,-7.139055610545577135e-01
2.996948249031092804e-01,-7.144834348991476736e-01
2.999221423132961695e-01,-7.150595823272301033e-01
3.001487358651178661e-01,-7.156338452728092658e-01
3.003745841524627092e-01,-7.162062172638746782e-01
3.005996800335317132e-01,-7.167766138938543863e-01
3.008241307956261990e-01,-7.173454096942498692e-01
3.010480443240495796e-01,-7.179127487504806115e-01
3.012715262568585461e-01,-7.184788767065232173e-01
3.014946432475936744e-01,-7.190440385772042253e-01
3.017174692592681784e-01,-7.196084022613055131e-01
3.019400658164860807e-01,-7.201719830233991315e-01
3.021624927988796894e-01,-7.207350692248999380e-01
3.023847934793463255e-01,-7.212977820896462333e-01
3.026069991188221064e-01,-7.218601214060201832e-01
3.028291202677115268e-01,-7.224221592069421938e-01
3.030512265435351682e-01,-7.229840298955867439e-01
3.032732871790914109e-01,-7.235456936929971494e-01
3.034953502424593830e-01,-7.241072159295333099e-01
3.037174043250704947e-01,-7.246686358138794137e-01
3.039394649522990099e-01,-7.252299618069543152e-01
3.041615149395388573e-01,-7.257911491998541020e-01
3.043835521466682903e-01,-7.263521804739339061e-01
3.046055796840661523e-01,-7.269131087682587644e-01
3.048275763577939501e-01,-7.274738751001799120e-01
3.050495314769993693e-01,-7.280344558126001786e-01
3.052714288920124752e-01,-7.285947801970888982e-01
3.054932425705455534e-01,-7.291548725682753807e-01
3.057149714889157432e-01,-7.297146377692381725e-01
3.059365888057567484e-01,-7.302740256306539113e-01
3.061580382032079162e-01,-7.308329347224528094e-01
3.063793537021657354e-01,-7.313914364749493080e-01
3.066004663088231497e-01,-7.319493997767037019e-01
3.068213629908760898e-01,-7.325067186669148578e-01
3.070420148186489007e-01,-7.330634497976776798e-01
3.072624014871048193e-01,-7.336194278897913978e-01
3.074824925574340395e-01,-7.341745754537224444e-01
3.077022481641732421e-01,-7.347289393253383372e-01
3.079216459745193202e-01,-7.352823111575959025e-01
3.081406875591947148e-01,-7.358347407580365651e-01
3.083593057164744078e-01,-7.363861243987277483e-01
3.085774827582497548e-01,-7.369364268887970137e-01
3.087952051636323469e-01,-7.374854960830622419e-01
3.090124320892551624e-01,-7.380333581985530911e-01
3.092291390934476247e-01,-7.385798737314885898e-01
3.094453006459756406e-01,-7.391249679772876613e-01
3.096608905659034017e-01,-7.396687561311233727e-01
3.098758729604516593e-01,-7.402109274755168666e-01
3.100902532540137924e-01,-7.407516541027970858e-01
3.103039795748177565e-01,-7.412907186931307901e-01
3.105171088402162716e-01,-7.418282233270939718e-01
3.107297090498598591e-01,-7.423644963385001017e-01
3.109418413403670645e-01,-7.428994099982378918e-01
3.111535589747143060e-01,-7.434334066885767145e-01
3.113649070207360481e-01,-7.439664727414980749e-01
3.115759373275900912e-01,-7.444986581322680097e-01
3.117866985582686823e-01,-7.450300709788922893e-01
3.119971991964450853e-01,-7.455607749323972522e-01
3.122074768456283844e-01,-7.460910005695967628e-01
3.124175553645613390e-01,-7.466205609224356721e-01
3.126274628848608184e-01,-7.471496399023276336e-01
3.128372080715797754e-01,-7.476783528847933402e-01
3.130468073141398633e-01,-7.482066102805582375e-01
3.132562711518506737e-01,-7.487344463844841647e-01
3.134656072751705880e-01,-7.492619207399369152e-01
3.136748207481587225e-01,-7.497890154828843468e-01
3.138839170095296116e-01,-7.503157753471518809e-01
3.140928881115996329e-01,-7.508422233036543547e-01
3.143017408220180609e-01,-7.513682711544046322e-01
3.145104688818250449e-01,-7.518939095785163174e-01
3.147190671275013063e-01,-7.524191761467435846e-01
3.149275177674867310e-01,-7.529442061577016343e-01
3.151358411544671334e-01,-7.534687192210564044e-01
3.153440121512782190e-01,-7.539928238085991108e-01
3.155520108534888846e-01,-7.545164931343046888e-01
3.157598303150427332e-01,-7.550396225932675121e-01
3.159674645110601143e-01,-7.555622628184720524e-01
3.161748970635307465e-01,-7.560844082136958244e-01
3.163821140514134211e-01,-7.566059286427061492e-01
3.165890932824871884e-01,-7.571268934358290625e-01
3.167958426812433337e-01,-7.576472494917616540e-01
3.170023237626878321e-01,-7.581668691573989483e-01
3.172085444808530053e-01,-7.586857828697003425e-01
3.174144401493765311e-01,-7.592039319526412422e-01
3.176200428566546830e-01,-7.597213545795480361e-01
3.178253097415513762e-01,-7.602379407911159515e-01
3.180302543575186380e-01,-7.607535719974314325e-01
3.182348296265481435e-01,-7.612683540071382149e-01
3.184390288137836089e-01,-7.617821964697643056e-01
3.186428351068716358e-01,-7.622950649241806431e-01
3.188462317484939690e-01,-7.628068708426698485e-01
3.190492020728762923e-01,-7.633176405609021220e-01
3.192517364709204220e-01,-7.638272758764306225e-01
3.194537977623154723e-01,-7.643357831037044248e-01
3.196553912036385614e-01,-7.648430542094919460e-01
3.198564909163881254e-01,-7.653491831980031579e-01
3.200570860197298750e-01,-7.658540268933132777e-01
3.202571756441044970e-01,-7.663574942883704111e-01
3.204568158274100909e-01,-7.668600489536995246e-01
3.206560250671853796e-01,-7.673614817486745787e-01
3.208548380110849418e-01,-7.678618928592784165e-01
3.210533263938760151e-01,-7.683614101005886710e-01
3.212514611717456336e-01,-7.688600793776753095e-01
3.214493261098865240e-01,-7.693580131193593630e-01
3.216469007962836080e-01,-7.698551918618998791e-01
3.218442201886341225e-01,-7.703517638847389160e-01
