Temperatures,310->211/300->201
1.065620974979282071e-01,1.496719336660922606e+00
1.066602998539479680e-01,1.496817016208063400e+00
1.067585927083996716e-01,1.496926216092223649e+00
1.068569761446822031e-01,1.497049134292149475e+00
1.069554502462712747e-01,1.497188563861347355e+00
1.070540150967195514e-01,1.497348109092588864e+00
1.071526707796567057e-01,1.497532503277446470e+00
1.072514173787894598e-01,1.497748088503606301e+00
1.073502549779016685e-01,1.498003562846528469e+00
1.074491836608544165e-01,1.498311186617096391e+00
1.075482035115860741e-01,1.498688814240919598e+00
1.076473146141123383e-01,1.499163495967256621e+00
1.077465170525263582e-01,1.499778273535252504e+00
1.078458109109987628e-01,1.500606047320343306e+00
1.079451962737777576e-01,1.501780901157614645e+00
1.080446732251891806e-01,1.503579334264719458e+00
1.081442418496365854e-01,1.506677702780099493e+00
1.082439022316013105e-01,1.513284333107538515e+00
1.083436544556425352e-01,1.537139644273975092e+00
1.084434986063973899e-01,0.000000000000000000e+00
1.085434347685809570e-01,0.000000000000000000e+00
1.086434630269864365e-01,0.000000000000000000e+00
1.087435834664851331e-01,0.000000000000000000e+00
1.088437961720266078e-01,0.000000000000000000e+00
1.089441012286386512e-01,0.000000000000000000e+00
1.090444987214274630e-01,0.000000000000000000e+00
1.091449887355776249e-01,0.000000000000000000e+00
1.092455713563522668e-01,0.000000000000000000e+00
1.093462466690930668e-01,0.000000000000000000e+00
1.094470147592203485e-01,0.000000000000000000e+00
1.095478757122331642e-01,0.000000000000000000e+00
1.096488296137093504e-01,0.000000000000000000e+00
1.097498765493056250e-01,0.000000000000000000e+00
1.098510166047576009e-01,0.000000000000000000e+00
1.099522498658799669e-01,0.000000000000000000e+00
1.100535764185664178e-01,0.000000000000000000e+00
1.101549963487898770e-01,0.000000000000000000e+00
1.102565097426024404e-01,0.000000000000000000e+00
1.103581166861355295e-01,0.000000000000000000e+00
1.104598172655999466e-01,0.000000000000000000e+00
1.105616115672859168e-01,0.000000000000000000e+00
1.106634996775632263e-01,0.000000000000000000e+00
1.107654816828812089e-01,0.000000000000000000e+00
1.108675576697688708e-01,0.000000000000000000e+00
1.109697277248350572e-01,0.000000000000000000e+00
1.110719919347682300e-01,0.000000000000000000e+00
1.111743503863369814e-01,0.000000000000000000e+00
1.112768031663896179e-01,0.000000000000000000e+00
1.113793503618546732e-01,0.000000000000000000e+00
1.114819920597407144e-01,0.000000000000000000e+00
1.115847283471364942e-01,0.000000000000000000e+00
1.116875593112110071e-01,0.000000000000000000e+00
