Temperatures,+-,Metastables,+-
1.250905831711672072e+05,3.628886964336168021e+06,-4.418960917740335000e+14,6.675436629760687000e+15
1.290962424958508491e+05,6.015850112552618608e+06,-4.232942645160910625e+14,1.026875637838186200e+16
2.413999652246797723e+03,4.342042588289301420e+03,-1.769441899262349688e+14,1.251755469488043750e+14
7.211270078032066522e+02,1.067433533623487847e+03,-1.463851853745678125e+14,8.936619971892709375e+13
5.492782552841903225e+02,6.776520401498371484e+02,-1.761004508861343750e+14,8.903060432832964062e+13
3.674211174701010805e+02,4.556650923646662932e+02,-1.701408421055563750e+14,8.547591932242503125e+13
2.949609474214556712e+02,5.173800960640987796e+02,-1.134811887648667188e+14,8.005536983806145312e+13
4.200721180419634766e+04,2.530884133220148215e+05,-5.189758317188219375e+14,1.127612758550367000e+15
6.008079201061021013e+04,1.883887375840599707e+05,-5.381539729538188750e+14,3.078047199765691875e+14
2.455791817859208379e+02,9.575413655472899563e+02,4.173633438226724219e+13,6.506686684799976562e+13
2.212475697147833671e+02,3.651451269015974503e+02,9.336917558361017188e+13,6.137784415246306250e+13
2.584788670453714872e+02,3.435983476545811186e+02,1.242559073583905469e+14,6.621279832777690625e+13
3.815287622674297836e+02,5.797218872257495832e+02,1.259933817241507500e+14,7.778447189569479688e+13
5.872280898753259635e+02,1.125619624020170249e+03,1.084532870722464219e+14,8.548627053493470312e+13
7.976227990709772939e+02,3.404701547727801426e+03,5.077318990538799219e+13,8.969622848618226562e+13
3.513581673156413672e+02,1.887670912349672335e+03,-3.202021809144955859e+13,6.964367983496495312e+13
1.295442627965716965e+05,4.452594171314608306e+06,-5.685432640581810000e+14,1.017066837849819200e+16
1.295675843489348918e+05,3.940883228563841898e+06,-6.392531935458806250e+14,1.011255826912502800e+16
1.287385256635080586e+05,4.144371281536204275e+06,-6.158010236234677500e+14,1.032170658118306400e+16
1.270538783019383263e+05,4.898921652686770074e+06,-4.881902213264060000e+14,9.804722728940252000e+15
1.250307541118890076e+05,6.322802531258483417e+06,-2.885662412814520625e+14,7.598651587913142000e+15
8.913244267039958402e+01,1.465120140104949087e+02,7.963914841939465625e+13,4.975491271019949219e+13
9.626771321866429787e+01,1.500655177348781137e+02,8.581896088282193750e+13,5.107138305227273438e+13
5.665392136075949381e+00,1.257035905336848458e+01,5.880853177735195312e+13,3.131661605337632812e+13
5.703485626667659147e+01,1.301723384197728990e+02,5.437107489811745312e+13,4.560983942350859375e+13
3.677936243712993658e+00,2.101325558481082467e+01,2.613526313331979688e+13,2.787679243220815234e+13
6.514614407475172584e+02,4.384554020347652113e+03,-2.861739609672055859e+13,7.934758945951289062e+13
5.557894257165795580e+02,3.236216890911613518e+03,-3.194436758685697656e+13,7.622909913047256250e+13
4.882514180240879682e+02,1.848655445875651367e+03,-4.660606835679857812e+13,7.215268917691251562e+13
4.772634125188379244e+02,2.664660361710356028e+03,-3.098335017700435938e+13,7.069162912420879688e+13
9.005336429376874321e+02,3.926609431427946402e+04,-4.358206982688559082e+12,7.877054835079703125e+13
1.292007006624891801e+05,1.503831496609514020e+07,-1.580166727196250625e+14,9.592976167464408000e+15
