Temperatures,+-,Metastables,+-
5.134659656096646358e+02,1.069161928907366530e+02,8.137684461359496250e+14,7.289728932303592188e+13
4.482673694753120799e+02,9.250508476416953840e+01,8.144491460641435000e+14,7.228170449639620312e+13
3.906204598993232366e+02,8.818565974488886638e+01,7.673352259862101250e+14,7.444611680049703125e+13
3.420324237344471499e+02,8.696924722201583791e+01,6.882284568454280000e+14,7.510157553108610938e+13
3.144426361328279995e+02,8.480044618248751931e+01,6.521629539709575000e+14,7.543529852394939062e+13
3.026206971753975381e+02,7.890496666527010916e+01,6.303646225599937500e+14,7.047263505127664062e+13
2.603532314900454594e+02,6.390880648026335109e+01,5.935040699428066250e+14,6.240250460857712500e+13
2.266613679665510404e+02,5.934664869433276380e+01,5.573325968587478125e+14,6.243854412820218750e+13
2.640712307721858565e+02,7.165143713854239138e+01,5.789124613515275000e+14,6.727657171487385156e+13
3.496004841553788651e+02,9.541351352528637619e+01,6.160227074781856250e+14,7.212900197767329688e+13
4.469446079568718915e+02,1.159697951515282170e+02,6.402188851279581250e+14,7.135584038950004688e+13
4.633820230358829804e+02,1.092020486162421093e+02,6.353892732651122500e+14,6.432538985465565625e+13
4.704890015460421182e+02,1.179632942731563503e+02,6.291986838887715000e+14,6.777345223421117969e+13
4.739435819672387993e+02,1.266786053416094404e+02,6.437491023352163750e+14,7.392487350523881250e+13
3.940767309958862938e+02,1.096381098202064095e+02,6.221852959257675000e+14,7.429443984783187500e+13
3.349876901843083488e+02,8.973193886473053738e+01,6.129676202067986250e+14,7.043153112740937500e+13
2.913820218712874066e+02,7.411032656090993953e+01,5.993874504936646250e+14,6.533985340263763281e+13
2.762484262074173103e+02,6.517821889165168159e+01,5.948276628250975000e+14,6.012503504472512500e+13
2.958451900767102529e+02,7.676453964378931971e+01,6.019713654842106250e+14,6.695509512967584375e+13
2.934816247622600258e+02,8.616849109738481616e+01,6.024440423455483750e+14,7.581560838660971875e+13
2.790747865645112711e+02,7.898009126591276186e+01,6.184970891677225000e+14,7.501849865663934375e+13
2.862504716874947803e+02,7.493289840645736888e+01,6.493406697322930000e+14,7.288416231818593750e+13
2.908208458483583172e+02,6.900037011637901685e+01,6.766881054896805000e+14,6.886397248040610938e+13
2.840055085288942678e+02,6.838364391291825939e+01,6.720421741390910000e+14,6.939085749311845312e+13
2.489242095812737432e+02,6.142594310532932411e+01,6.319048181526475000e+14,6.679724756906518750e+13
2.619877825686360211e+02,6.602363832844108060e+01,5.960797516086551250e+14,6.434786019585002344e+13
2.789115866454264960e+02,7.484027721922755916e+01,5.766030574786601250e+14,6.628412362316097656e+13
2.807979981764788704e+02,7.734227415054293431e+01,5.403987674884864375e+14,6.375617225837919531e+13
3.639813356266840287e+02,9.135802326743619517e+01,5.599183264247195625e+14,6.027654314951192969e+13
4.138592709998770260e+02,9.527936786239116884e+01,5.805790748254053750e+14,5.737223149004931250e+13
4.298839664896166255e+02,9.776312599473256171e+01,6.029511005668708750e+14,5.887944854553195312e+13
4.247835704822689422e+02,9.212312476450573229e+01,6.621109726970073750e+14,6.167323565131756250e+13
3.679425294130595603e+02,9.129738568390634157e+01,6.745155981002907500e+14,7.186004592162153125e+13
3.109777470273484141e+02,8.172395615344120756e+01,6.896046774169805000e+14,7.774935823391395312e+13
2.782561015946268981e+02,7.385797803811787787e+01,6.695817322423187500e+14,7.619259687345534375e+13
2.455210658314466059e+02,5.921146102659179178e+01,6.562854075550475000e+14,6.780311012817999219e+13
2.299024582616515886e+02,5.618328951475864841e+01,6.363622574273575000e+14,6.658131197849527344e+13
2.533557997306120626e+02,6.191260769439552547e+01,6.210087193862665000e+14,6.500952253092068750e+13
3.178139218370294543e+02,8.094359561443847895e+01,6.359835200622171250e+14,6.947560043835731250e+13
4.623009669056592656e+02,1.278748914525606040e+02,6.463893957538097500e+14,7.681653234869868750e+13
6.047449981672496051e+02,1.600081796931021927e+02,6.641016111072695000e+14,7.557707106543993750e+13
6.879388223465424517e+02,1.690046841820048940e+02,6.631708363216163750e+14,7.009409459269183594e+13
7.625743353269388081e+02,1.754918949307505613e+02,7.099310433124461250e+14,7.031308725375423438e+13
6.144616335861182961e+02,1.396733990149389513e+02,6.851691107644060000e+14,6.699333481078278906e+13
4.729626526197233147e+02,1.238695290803063358e+02,6.164589946496807500e+14,6.934407030132426562e+13
4.370488077448188164e+02,1.198702834781976918e+02,6.272883049291327500e+14,7.388362574089754688e+13
3.401443806836734893e+02,8.639864759296824559e+01,6.410889381087465000e+14,6.986973059893905469e+13
2.891332382529864162e+02,6.814605011404228208e+01,6.456642465233215000e+14,6.525166527327282031e+13
