Temperatures,+-,Metastables,+-
2.739991381818230138e+02,3.981713140569034692e+01,9.104756284944297500e+14,5.634759144604567188e+13
2.862122397550516553e+02,3.980130143115614061e+01,8.975212572417875000e+14,5.316801066239219531e+13
3.253722846116666005e+02,5.537863607108460684e+01,9.534653233474000000e+14,6.923069070823544531e+13
2.732137961012352889e+02,4.146093818084448657e+01,8.789688921270707500e+14,5.679225658578581250e+13
2.697844699654802980e+02,3.717614224402094436e+01,9.354664290005988750e+14,5.490421495983436719e+13
2.343763984285383799e+02,3.450366515698331682e+01,8.939997905319250000e+14,5.596488345334657812e+13
3.152463474792260172e+02,4.753918901099589078e+01,9.691747878642836250e+14,6.234151126254857812e+13
3.481453629855319036e+02,5.159248769243243515e+01,9.088719289098711250e+14,5.746454425123728906e+13
3.062960269639567628e+02,4.949538852787577525e+01,8.638412539279336250e+14,5.947765727200755469e+13
3.710000634151801933e+02,4.372158018680197245e+01,1.007798263164731250e+15,5.073103069950081250e+13
3.176846828670020955e+02,4.137792447491160175e+01,1.027721243099073250e+15,5.712828628460218750e+13
3.903220061376169383e+02,6.278882344057300458e+01,1.002528366927704000e+15,6.891142635861346875e+13
3.355047912865405806e+02,4.303394044553031250e+01,1.003203469361780250e+15,5.492785098836178125e+13
3.071019390614621329e+02,4.647137757279949710e+01,9.434871215607210000e+14,6.086991074261946875e+13
2.997517970612113913e+02,4.002626771439514641e+01,9.027908759985727500e+14,5.137259827838428125e+13
4.006423204904413069e+02,5.677768984553496523e+01,9.101840957801472500e+14,5.508220858316788281e+13
2.867453546945531571e+02,3.902495032247237816e+01,9.082384333473757500e+14,5.265841886868947656e+13
2.030871667426443992e+02,3.882421666469691957e+01,7.946016669209755000e+14,6.443926865238777344e+13
2.996813595018787737e+02,4.213204624069663851e+01,9.102306091925457500e+14,5.453414004239432812e+13
3.176026200731951690e+02,5.192141076685085466e+01,8.627179566663557500e+14,6.011388719284245312e+13
2.885367799575121239e+02,4.092795263049567467e+01,9.310112889978942500e+14,5.627486799977474219e+13
2.720008598290480109e+02,4.216871396610082456e+01,7.996217941781333750e+14,5.274192524464803906e+13
3.397006866940508871e+02,5.129242384185403836e+01,9.510740958197832500e+14,6.127925371302976562e+13
2.380072867838095476e+02,3.939864709863597625e+01,9.000696352777521250e+14,6.336955265967537500e+13
3.028865741227315311e+02,4.682667349460889739e+01,8.843494426862986250e+14,5.826057687497871094e+13
2.975873441924319991e+02,3.851248151360552185e+01,9.917050564998946250e+14,5.473380051918066406e+13
2.829687874388368982e+02,3.828776623557859438e+01,9.382509427558111250e+14,5.409001567974753906e+13
2.652918247477458067e+02,4.101572007187767355e+01,8.613559028363162500e+14,5.667406032176495312e+13
3.733410604181179906e+02,5.679602010139502966e+01,9.608057496968346250e+14,6.241592917019229688e+13
3.057698645096136261e+02,4.175994580803924094e+01,9.351231983832852500e+14,5.444846641261906250e+13
2.745113100802964254e+02,4.078799952881637836e+01,8.417502898291132500e+14,5.323348032428480469e+13
3.492139491892836531e+02,5.726180461833281754e+01,9.535080868655397500e+14,6.673239296775033594e+13
3.958644637698370730e+02,6.315708913431242166e+01,1.012798230108366000e+15,6.905716562013192188e+13
3.139717731290321581e+02,4.082546536790191283e+01,9.590879261321338750e+14,5.318750669328875781e+13
3.393967487844032007e+02,5.522844433417628807e+01,9.074866797717452500e+14,6.299185211095678125e+13
2.950776728964482345e+02,5.096593347493725901e+01,8.451922030305866250e+14,6.217241968564495312e+13
2.151995298081347983e+02,3.168977148637820207e+01,8.163374915507945000e+14,5.104233294268351562e+13
3.010090860058755879e+02,4.410468603318523861e+01,8.909993347575270000e+14,5.563133345380610938e+13
3.087209580222570366e+02,4.758520602695351442e+01,8.723311012973832500e+14,5.729758667055197656e+13
2.351164000519882791e+02,3.689841743260569018e+01,8.769537093089820000e+14,5.851777899049422656e+13
3.233542719593752963e+02,5.381202066109830184e+01,8.687310437510218750e+14,6.163079856441318750e+13
2.865221891472794482e+02,4.372043195855977160e+01,8.682506443496981250e+14,5.642149879785650000e+13
2.837247126528341710e+02,3.946124430445882325e+01,8.991848773521807500e+14,5.326997194594999219e+13
2.772710787881825922e+02,3.647506656210283893e+01,8.762984761173760000e+14,4.908169124266283594e+13
3.014480693126196797e+02,4.272648944430610385e+01,8.895685196065475000e+14,5.372622864588353125e+13
2.377643818896237349e+02,3.176833897484211278e+01,9.273924462279716250e+14,5.271724686274039844e+13
2.345969443587533192e+02,4.073603992717778510e+01,8.183338181791251250e+14,6.038225657725921094e+13
2.850555120100379440e+02,5.381276877844284456e+01,8.869974726799967500e+14,7.131455556701034375e+13
2.934192447482604962e+02,4.906635162280066709e+01,9.006706500010342500e+14,6.416836801848408594e+13
2.599336210289375799e+02,2.946441988454767014e+01,9.684162253242650000e+14,4.675294443304544531e+13
2.801876126273364207e+02,4.109068328466640452e+01,8.700182328126761250e+14,5.433117168904006250e+13
3.184314419673023053e+02,4.853615319585966148e+01,9.410070420796288750e+14,6.116675236777802344e+13
3.467445211452065337e+02,6.065592048307949113e+01,8.638892732034696250e+14,6.445073117930381250e+13
3.029318238504737906e+02,4.044560415249662100e+01,9.231963809624261250e+14,5.254098522816657812e+13
2.833358266679499025e+02,3.460626612034034366e+01,8.911434339513793750e+14,4.635884205160374219e+13
3.016221058900381990e+02,5.109580465981314035e+01,8.434080542985663750e+14,6.086498233980122656e+13
2.534449587361529268e+02,3.581591034552533159e+01,9.250178352134085000e+14,5.564585454577172656e+13
2.631796983414456577e+02,3.720577875296106640e+01,9.156794543485352500e+14,5.511626867775709375e+13
3.882953704247932478e+02,5.975430600256048308e+01,9.606858961908596250e+14,6.314897290871589062e+13
2.846955613493267379e+02,4.419624275009559256e+01,8.160711744808231250e+14,5.392459966254500781e+13
3.287754865147746273e+02,4.646175405364266453e+01,9.457210079720101250e+14,5.701419444846595312e+13
