Temperatures,+-,Metastables,+-
3.148964596989230245e+02,1.470866870081653701e+02,2.735836938240963125e+14,5.248614570979439062e+13
2.301618785709121369e+02,1.421978359404866978e+02,2.323056050685761562e+14,5.839267042030717969e+13
2.277925677865490854e+02,1.039454569118695844e+02,2.882947240238541250e+14,5.353813351975670312e+13
1.992332555310795499e+02,1.360519035730171709e+02,1.870764943420384688e+14,5.171833190024780469e+13
8.612645698952140094e+01,8.286065591937575903e+01,1.352847149629450625e+14,5.085131889616852344e+13
1.429985192648877614e+02,9.524789096191186388e+01,1.923186223711132812e+14,5.123481213868894531e+13
2.479526293446686509e+02,2.127063195564249440e+02,1.543034042557331875e+14,5.392086354555376562e+13
1.141520551573243125e+02,6.399181152565991226e+01,2.248148089250597812e+14,4.996084089502559375e+13
4.846266556610115686e+02,3.153593896463808619e+02,2.438544488211690938e+14,6.583525255082050000e+13
2.438958128349468950e+02,1.492733338241047818e+02,2.249365341461389062e+14,5.610923245512934375e+13
3.185665676972869846e+02,2.120064254421725991e+02,2.331124569513213125e+14,6.370750827696913281e+13
1.642623583744882581e+02,9.344656388938409464e+01,2.412944927624281875e+14,5.523788428858182031e+13
3.428423495191395318e+02,1.923546268696018444e+02,2.930571683453892500e+14,6.767571104216228906e+13
2.755549278406900839e+02,1.379871709583428299e+02,3.059816109705228750e+14,6.271772520341145312e+13
2.215292707438103719e+02,1.573173814299326807e+02,2.238682929707198125e+14,6.462783974745481250e+13
8.500980593536237961e+01,4.368843930859467406e+01,2.005615018138177188e+14,4.027483386196175000e+13
3.482460227480889330e+02,2.051287636457854262e+02,2.912456789116301875e+14,7.065079593785828125e+13
2.769824984520830640e+02,2.504587264164992462e+02,1.486568704186668125e+14,5.493829142138456250e+13
4.430142518418287523e+02,2.844993279642798711e+02,2.570439562836673125e+14,6.832230203979605469e+13
2.307033333179945771e+02,1.397915153966260391e+02,1.983388709061632188e+14,4.887388948219614844e+13
1.859113963643603142e+02,1.273106537805195728e+02,1.798183944220323750e+14,4.974725979906564062e+13
2.463960433955251119e+02,1.743944830550446454e+02,1.777496704227918125e+14,5.127168154209005469e+13
1.299876460495667914e+02,7.681931596346844060e+01,1.937276091516471562e+14,4.562690071018063281e+13
1.087865340230880520e+02,5.706851902668483945e+01,2.051960185904615000e+14,4.258194100675879688e+13
1.944473901137333200e+02,1.592052562065361769e+02,1.737919959504455000e+14,5.755241020039970312e+13
2.137211992270654264e+02,1.466135479208584798e+02,2.034926618917445000e+14,5.666539730807816406e+13
1.892295914127519723e+02,8.651964440483885710e+01,2.511382780456309688e+14,4.642900065349975781e+13
1.900606803688925197e+02,1.092326157186565467e+02,2.260995418935137500e+14,5.252506681792617969e+13
3.695325918951988911e+02,1.921703866278311921e+02,2.608341338765912812e+14,5.590538376790022656e+13
3.013120162359201686e+02,2.459247218895331457e+02,1.560435648936770938e+14,5.219488261254500000e+13
2.562901067593691664e+02,1.904418269317549743e+02,2.041914753238968750e+14,6.194102588245444531e+13
2.771590270223582593e+02,2.177708284745749836e+02,1.744563540548028750e+14,5.603324504750437500e+13
3.167488137317286032e+02,1.842522818120792465e+02,2.637761695911892188e+14,6.302420233216667969e+13
3.248297596465871493e+02,1.540354020593398445e+02,3.185184024316453750e+14,6.210832463808349219e+13
4.129421015416070873e+02,2.220587986522494077e+02,2.148458861468925000e+14,4.773113314034455469e+13
2.026417104789162522e+02,1.267621742087408734e+02,2.375696784152770625e+14,6.024493578297937500e+13
2.120158821629106285e+02,1.677395481931281722e+02,1.794162000031191875e+14,5.755541575737326562e+13
1.553194041310677562e+02,7.096762113689383966e+01,2.275885424612208438e+14,4.173375923483514062e+13
2.331705246727199210e+02,1.023784078787301439e+02,3.035127279092313125e+14,5.428349935886911719e+13
1.511100808087192036e+02,6.208663338096418727e+01,2.517614628179940625e+14,4.149922023469418750e+13
2.292263941930507940e+02,1.897101594266414679e+02,1.855210598333581562e+14,6.243921709513442969e+13
2.198171297466689680e+02,8.674578280272265829e+01,2.927570975488854375e+14,4.695744189469680469e+13
1.684185750128543759e+02,9.431472577086371700e+01,2.255795813989288750e+14,5.086966269094303125e+13
1.572415849518528432e+02,1.069233383014527305e+02,1.885569980893327188e+14,5.147498101676554688e+13
1.845161385681514332e+02,1.319404462117403511e+02,2.036492897948013438e+14,5.880836768935864062e+13
7.018343038654666088e+01,4.412311048220433207e+01,1.685300911592898750e+14,4.095338328206948438e+13
1.472202351410909671e+02,9.251544700584757663e+01,2.310775474533736562e+14,5.816750180407493750e+13
2.066359741487016493e+02,1.873018812013170589e+02,1.723360707441024375e+14,6.330888434335228906e+13
2.222650081282774863e+02,1.331370763369764632e+02,2.481558065155790938e+14,6.041069954331895312e+13
1.136092561878547826e+02,6.823830800539020913e+01,2.237462506179559375e+14,5.327401437773159375e+13
3.896449948839911599e+02,2.085149029169199935e+02,2.494561878454704688e+14,5.510896548919152344e+13
2.847500381368777198e+02,1.458300590899078486e+02,2.446696823362110625e+14,5.128988809096517188e+13
2.564792831813894054e+02,1.939890769985949248e+02,2.212940029001499688e+14,6.834836536315925000e+13
2.457677145116749102e+02,1.634217128957069463e+02,2.114583302749108750e+14,5.732403844904754688e+13
2.309200614171719224e+02,1.270394717069099073e+02,2.263274697845464062e+14,5.066020254600431250e+13
7.655531468292775799e+01,3.371171944866754444e+01,2.275326148753668750e+14,3.895368992869210938e+13
2.475718996296482999e+02,1.604409556002518400e+02,1.669917630893051562e+14,4.412395266256763281e+13
2.726849711945354215e+02,1.638464023139026153e+02,2.499913290431829375e+14,6.140959338835782031e+13
1.833111411260468344e+02,2.555825479694062494e+02,1.007452382036712188e+14,5.662671579585827344e+13
2.600351708190907516e+02,2.470951317727818832e+02,1.584706253942077812e+14,6.142812583761685156e+13
3.046021178438545007e+01,2.064470208185121791e+01,1.535149524594298750e+14,3.794151397741596875e+13
1.313234837448924281e+02,1.123632328247444576e+02,1.363485341973817031e+14,4.648987599085919531e+13
1.924434787453947990e+02,1.403307496991357652e+02,2.236529665934646250e+14,6.598844363085367188e+13
3.349789682946117182e+02,2.922754109809496867e+02,1.843079133095122188e+14,6.611777410044074219e+13
