Angular field frequency / N (m3/s)         0.000    
Gas temperature (K)                        300.0    
Ionization degree                          0.000    
Electron density (1/m3)                   0.1000E+19
Longitudinal diffusion                     1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Grid type                                  3.000    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    100.0    
Mole fraction He                           1.000    


E/N (Td)    	Electric field / N (Td)                                         
0.1132	1.134
0.1199	1.159
0.1271	1.186
0.1346	1.215
0.1426	1.247
0.1511	1.280
0.1601	1.316
0.1696	1.355
0.1797	1.397
0.1904	1.441
0.2018	1.489
0.2138	1.539
0.2265	1.594
0.2399	1.652
0.2542	1.714
0.2693	1.781
0.2853	1.852
0.3023	1.929
0.3203	1.579
0.3394	1.635
0.3595	2.205
0.3809	2.289
0.4036	2.380
0.4276	2.476
0.4530	2.580
0.4800	2.691
0.5085	2.809
0.5388	2.935
0.5708	3.070
0.6048	3.214
0.6407	3.368
0.6788	3.532
0.7192	3.709
0.7620	3.898
0.8073	4.101
0.8553	4.318
0.9062	4.553
0.9601	4.807
1.017	5.082
1.078	5.353
1.142	4.443
1.210	6.086
1.282	6.422
1.358	6.789
1.439	7.188
1.524	7.624
1.615	8.100
1.711	8.623
1.813	9.197
1.921	9.832
2.035	10.54
2.156	11.33
2.284	12.22
2.420	13.23
2.564	14.38
2.716	15.71
2.878	17.25
3.049	19.08
3.230	21.30
3.423	23.92
3.626	21.21
3.842	22.44
4.070	23.46
4.312	24.30
4.569	25.85
4.841	26.31
5.129	27.37
5.434	28.42
5.757	29.22
6.099	31.15
6.462	31.41
6.847	32.15
7.254	33.34
7.685	34.60
8.142	35.29
8.627	36.72
9.140	37.51
9.683	38.34
10.26	40.03
10.87	41.00
11.52	42.02
12.20	44.04
12.93	45.22
13.70	46.46
14.51	47.78
15.37	49.17
16.29	51.85
17.26	53.39
18.28	54.94
19.37	56.56
20.52	58.27
21.74	60.02
23.04	63.53
24.41	65.52
25.86	67.51
27.40	90.41
29.03	73.77
30.75	98.62
32.58	79.95
34.52	106.2
36.57	112.2
38.75	115.0
41.05	122.0
43.49	125.3
46.08	133.5
48.82	137.6
51.73	142.0
54.80	152.2
58.06	157.6
61.52	163.3
65.18	176.1
69.05	183.1
73.16	190.5
77.51	198.5
82.12	216.0
87.01	225.8
92.18	236.3
97.66	247.1
103.5	270.7
109.6	283.9
116.1	298.2
123.1	313.5
130.4	332.4
138.1	366.1
146.3	387.1
155.0	413.2
164.3	443.3
174.0	618.9
184.4	665.4
195.4	716.2
207.0	788.9
219.3	852.9
232.3	923.6
246.2	1001.
260.8	1086.
276.3	1180.
292.7	1283.
310.2	1396.
328.6	1521.
348.2	1727.
368.9	1898.
390.8	2089.
414.0	2304.
438.7	2550.
464.8	2835.
492.4	3154.
521.7	3528.
552.7	3985.
585.6	4524.
620.4	5151.
657.3	5895.
696.4	5958.
737.9	6920.
781.7	8092.
828.2	7313.
877.5	8655.
929.7	9900.
985.0	9900.


E/N (Td)	Mean energy (eV)
0.1000E-01	0.4023E-01
0.1059E-01	0.4039E-01
0.1122E-01	0.4057E-01
0.1189E-01	0.4077E-01
0.1260E-01	0.4099E-01
0.1335E-01	0.4123E-01
0.1414E-01	0.4149E-01
0.1498E-01	0.4178E-01
0.1588E-01	0.4210E-01
0.1682E-01	0.4245E-01
0.1782E-01	0.4283E-01
0.1888E-01	0.4325E-01
0.2000E-01	0.4371E-01
0.2119E-01	0.4420E-01
0.2245E-01	0.4474E-01
0.2379E-01	0.4533E-01
0.2520E-01	0.4597E-01
0.2670E-01	0.4665E-01
0.2829E-01	0.4740E-01
0.2998E-01	0.4821E-01
0.3176E-01	0.4907E-01
0.3365E-01	0.5001E-01
0.3565E-01	0.5102E-01
0.3777E-01	0.5210E-01
0.4002E-01	0.5326E-01
0.4240E-01	0.5450E-01
0.4492E-01	0.5584E-01
0.4759E-01	0.5727E-01
0.5042E-01	0.5880E-01
0.5342E-01	0.6043E-01
0.5660E-01	0.6217E-01
0.5996E-01	0.6402E-01
0.6353E-01	0.6599E-01
0.6731E-01	0.6810E-01
0.7131E-01	0.7034E-01
0.7555E-01	0.7271E-01
0.8005E-01	0.7524E-01
0.8481E-01	0.7792E-01
0.8985E-01	0.8076E-01
0.9519E-01	0.8378E-01
0.1009	0.8698E-01
0.1069	0.9032E-01
0.1132	0.9396E-01
0.1199	0.9770E-01
0.1271	0.1017
0.1346	0.1060
0.1426	0.1105
0.1511	0.1153
0.1601	0.1203
0.1696	0.1256
0.1797	0.1312
0.1904	0.1372
0.2018	0.1435
0.2138	0.1501
0.2265	0.1571
0.2399	0.1645
0.2542	0.1723
0.2693	0.1806
0.2853	0.1893
0.3023	0.1985
0.3203	0.2083
0.3394	0.2186
0.3595	0.2294
0.3809	0.2409
0.4036	0.2530
0.4276	0.2658
0.4530	0.2794
0.4800	0.2937
0.5085	0.3088
0.5388	0.3247
0.5708	0.3416
0.6048	0.3594
0.6407	0.3783
0.6788	0.3982
0.7192	0.4193
0.7620	0.4416
0.8073	0.4651
0.8553	0.4900
0.9062	0.5164
0.9601	0.5443
1.017	0.5738
1.078	0.6050
1.142	0.6380
1.210	0.6731
1.282	0.7102
1.358	0.7495
1.439	0.7911
1.524	0.8353
1.615	0.8822
1.711	0.9319
1.813	0.9849
1.921	1.041
2.035	1.101
2.156	1.165
2.284	1.233
2.420	1.305
2.564	1.383
2.716	1.466
2.878	1.556
3.049	1.652
3.230	1.756
3.423	1.868
3.626	1.988
3.842	2.120
4.070	2.263
4.312	2.421
4.569	2.594
4.841	2.785
5.129	2.996
5.434	3.229
5.757	3.484
6.099	3.758
6.462	4.047
6.847	4.342
7.254	4.636
7.685	4.918
8.142	5.182
8.627	5.427
9.140	5.649
9.683	5.851
10.26	6.034
10.87	6.199
11.52	6.351
12.20	6.492
12.93	6.624
13.70	6.745
14.51	6.865
15.37	6.979
16.29	7.090
17.26	7.197
18.28	7.308
19.37	7.411
20.52	7.522
21.74	7.627
23.04	7.737
24.41	7.848
25.86	7.962
27.40	8.081
29.03	8.198
30.75	8.321
32.58	8.449
34.52	8.578
36.57	8.716
38.75	8.860
41.05	9.007
43.49	9.163
46.08	9.329
48.82	9.502
51.73	9.683
54.80	9.875
58.06	10.08
61.52	10.30
65.18	10.53
69.05	10.77
73.16	11.03
77.51	11.31
82.12	11.61
87.01	11.93
92.18	12.27
97.66	12.64
103.5	13.04
109.6	13.47
116.1	13.93
123.1	14.43
130.4	14.98
138.1	15.56
146.3	16.20
155.0	16.89
164.3	17.64
174.0	18.45
184.4	19.33
195.4	20.29
207.0	21.33
219.3	22.47
232.3	23.70
246.2	25.04
260.8	26.50
276.3	28.07
292.7	29.80
310.2	31.66
328.6	33.68
348.2	35.87
368.9	38.25
390.8	40.83
414.0	43.63
438.7	46.70
464.8	50.00
492.4	53.58
521.7	57.47
552.7	61.70
585.6	66.30
620.4	71.33
657.3	76.82
696.4	82.80
737.9	89.38
781.7	96.57
828.2	104.5
877.5	113.2
929.7	122.8
985.0	133.5


E/N (Td)	Mobility x N (1/m/V/s)
0.1000E-01	0.2408E+26
0.1059E-01	0.2400E+26
0.1122E-01	0.2390E+26
0.1189E-01	0.2380E+26
0.1260E-01	0.2369E+26
0.1335E-01	0.2358E+26
0.1414E-01	0.2345E+26
0.1498E-01	0.2332E+26
0.1588E-01	0.2318E+26
0.1682E-01	0.2302E+26
0.1782E-01	0.2286E+26
0.1888E-01	0.2269E+26
0.2000E-01	0.2251E+26
0.2119E-01	0.2231E+26
0.2245E-01	0.2211E+26
0.2379E-01	0.2190E+26
0.2520E-01	0.2167E+26
0.2670E-01	0.2144E+26
0.2829E-01	0.2120E+26
0.2998E-01	0.2095E+26
0.3176E-01	0.2069E+26
0.3365E-01	0.2042E+26
0.3565E-01	0.2014E+26
0.3777E-01	0.1985E+26
0.4002E-01	0.1956E+26
0.4240E-01	0.1926E+26
0.4492E-01	0.1896E+26
0.4759E-01	0.1864E+26
0.5042E-01	0.1833E+26
0.5342E-01	0.1801E+26
0.5660E-01	0.1768E+26
0.5996E-01	0.1735E+26
0.6353E-01	0.1702E+26
0.6731E-01	0.1669E+26
0.7131E-01	0.1635E+26
0.7555E-01	0.1602E+26
0.8005E-01	0.1568E+26
0.8481E-01	0.1535E+26
0.8985E-01	0.1501E+26
0.9519E-01	0.1468E+26
0.1009	0.1435E+26
0.1069	0.1401E+26
0.1132	0.1369E+26
0.1199	0.1336E+26
0.1271	0.1304E+26
0.1346	0.1273E+26
0.1426	0.1241E+26
0.1511	0.1210E+26
0.1601	0.1180E+26
0.1696	0.1150E+26
0.1797	0.1120E+26
0.1904	0.1091E+26
0.2018	0.1063E+26
0.2138	0.1035E+26
0.2265	0.1007E+26
0.2399	0.9802E+25
0.2542	0.9538E+25
0.2693	0.9279E+25
0.2853	0.9026E+25
0.3023	0.8778E+25
0.3203	0.8537E+25
0.3394	0.8301E+25
0.3595	0.8069E+25
0.3809	0.7844E+25
0.4036	0.7624E+25
0.4276	0.7410E+25
0.4530	0.7201E+25
0.4800	0.6997E+25
0.5085	0.6799E+25
0.5388	0.6605E+25
0.5708	0.6417E+25
0.6048	0.6234E+25
0.6407	0.6056E+25
0.6788	0.5882E+25
0.7192	0.5714E+25
0.7620	0.5550E+25
0.8073	0.5390E+25
0.8553	0.5235E+25
0.9062	0.5085E+25
0.9601	0.4938E+25
1.017	0.4796E+25
1.078	0.4658E+25
1.142	0.4525E+25
1.210	0.4394E+25
1.282	0.4268E+25
1.358	0.4146E+25
1.439	0.4027E+25
1.524	0.3912E+25
1.615	0.3801E+25
1.711	0.3693E+25
1.813	0.3589E+25
1.921	0.3488E+25
2.035	0.3390E+25
2.156	0.3296E+25
2.284	0.3205E+25
2.420	0.3118E+25
2.564	0.3033E+25
2.716	0.2952E+25
2.878	0.2875E+25
3.049	0.2800E+25
3.230	0.2729E+25
3.423	0.2661E+25
3.626	0.2595E+25
3.842	0.2534E+25
4.070	0.2476E+25
4.312	0.2421E+25
4.569	0.2370E+25
4.841	0.2323E+25
5.129	0.2280E+25
5.434	0.2242E+25
5.757	0.2209E+25
6.099	0.2182E+25
6.462	0.2161E+25
6.847	0.2145E+25
7.254	0.2137E+25
7.685	0.2132E+25
8.142	0.2131E+25
8.627	0.2133E+25
9.140	0.2136E+25
9.683	0.2142E+25
10.26	0.2147E+25
10.87	0.2153E+25
11.52	0.2160E+25
12.20	0.2166E+25
12.93	0.2172E+25
13.70	0.2178E+25
14.51	0.2184E+25
15.37	0.2190E+25
16.29	0.2196E+25
17.26	0.2201E+25
18.28	0.2207E+25
19.37	0.2213E+25
20.52	0.2219E+25
21.74	0.2225E+25
23.04	0.2232E+25
24.41	0.2238E+25
25.86	0.2245E+25
27.40	0.2252E+25
29.03	0.2260E+25
30.75	0.2267E+25
32.58	0.2276E+25
34.52	0.2284E+25
36.57	0.2292E+25
38.75	0.2302E+25
41.05	0.2311E+25
43.49	0.2321E+25
46.08	0.2332E+25
48.82	0.2344E+25
51.73	0.2355E+25
54.80	0.2368E+25
58.06	0.2381E+25
61.52	0.2396E+25
65.18	0.2409E+25
69.05	0.2425E+25
73.16	0.2442E+25
77.51	0.2459E+25
82.12	0.2478E+25
87.01	0.2498E+25
92.18	0.2518E+25
97.66	0.2539E+25
103.5	0.2563E+25
109.6	0.2587E+25
116.1	0.2610E+25
123.1	0.2635E+25
130.4	0.2661E+25
138.1	0.2690E+25
146.3	0.2717E+25
155.0	0.2743E+25
164.3	0.2773E+25
174.0	0.2801E+25
184.4	0.2829E+25
195.4	0.2859E+25
207.0	0.2884E+25
219.3	0.2912E+25
232.3	0.2937E+25
246.2	0.2960E+25
260.8	0.2984E+25
276.3	0.3002E+25
292.7	0.3022E+25
310.2	0.3036E+25
328.6	0.3050E+25
348.2	0.3060E+25
368.9	0.3067E+25
390.8	0.3072E+25
414.0	0.3074E+25
438.7	0.3076E+25
464.8	0.3072E+25
492.4	0.3065E+25
521.7	0.3056E+25
552.7	0.3045E+25
585.6	0.3032E+25
620.4	0.3018E+25
657.3	0.3002E+25
696.4	0.2984E+25
737.9	0.2967E+25
781.7	0.2948E+25
828.2	0.2929E+25
877.5	0.2911E+25
929.7	0.2893E+25
985.0	0.2875E+25


E/N (Td)	Diffusion coefficient x N (1/m/s)
0.1000E-01	0.6577E+24
0.1059E-01	0.6591E+24
0.1122E-01	0.6606E+24
0.1189E-01	0.6622E+24
0.1260E-01	0.6640E+24
0.1335E-01	0.6660E+24
0.1414E-01	0.6682E+24
0.1498E-01	0.6706E+24
0.1588E-01	0.6731E+24
0.1682E-01	0.6759E+24
0.1782E-01	0.6790E+24
0.1888E-01	0.6823E+24
0.2000E-01	0.6858E+24
0.2119E-01	0.6897E+24
0.2245E-01	0.6938E+24
0.2379E-01	0.6982E+24
0.2520E-01	0.7030E+24
0.2670E-01	0.7081E+24
0.2829E-01	0.7135E+24
0.2998E-01	0.7193E+24
0.3176E-01	0.7255E+24
0.3365E-01	0.7321E+24
0.3565E-01	0.7390E+24
0.3777E-01	0.7464E+24
0.4002E-01	0.7542E+24
0.4240E-01	0.7624E+24
0.4492E-01	0.7711E+24
0.4759E-01	0.7802E+24
0.5042E-01	0.7898E+24
0.5342E-01	0.7998E+24
0.5660E-01	0.8104E+24
0.5996E-01	0.8214E+24
0.6353E-01	0.8329E+24
0.6731E-01	0.8449E+24
0.7131E-01	0.8574E+24
0.7555E-01	0.8704E+24
0.8005E-01	0.8839E+24
0.8481E-01	0.8980E+24
0.8985E-01	0.9126E+24
0.9519E-01	0.9277E+24
0.1009	0.9434E+24
0.1069	0.9591E+24
0.1132	0.9764E+24
0.1199	0.9932E+24
0.1271	0.1011E+25
0.1346	0.1030E+25
0.1426	0.1049E+25
0.1511	0.1068E+25
0.1601	0.1089E+25
0.1696	0.1110E+25
0.1797	0.1131E+25
0.1904	0.1153E+25
0.2018	0.1176E+25
0.2138	0.1199E+25
0.2265	0.1223E+25
0.2399	0.1248E+25
0.2542	0.1273E+25
0.2693	0.1299E+25
0.2853	0.1326E+25
0.3023	0.1354E+25
0.3203	0.1382E+25
0.3394	0.1411E+25
0.3595	0.1441E+25
0.3809	0.1472E+25
0.4036	0.1503E+25
0.4276	0.1536E+25
0.4530	0.1569E+25
0.4800	0.1603E+25
0.5085	0.1639E+25
0.5388	0.1675E+25
0.5708	0.1712E+25
0.6048	0.1750E+25
0.6407	0.1789E+25
0.6788	0.1830E+25
0.7192	0.1871E+25
0.7620	0.1914E+25
0.8073	0.1958E+25
0.8553	0.2004E+25
0.9062	0.2050E+25
0.9601	0.2098E+25
1.017	0.2148E+25
1.078	0.2199E+25
1.142	0.2251E+25
1.210	0.2305E+25
1.282	0.2361E+25
1.358	0.2419E+25
1.439	0.2479E+25
1.524	0.2541E+25
1.615	0.2605E+25
1.711	0.2671E+25
1.813	0.2740E+25
1.921	0.2811E+25
2.035	0.2886E+25
2.156	0.2963E+25
2.284	0.3045E+25
2.420	0.3130E+25
2.564	0.3219E+25
2.716	0.3314E+25
