LECROYWR6100A,18120,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,11-Dec-2012 18:14:08,0                 
Time,Ampl
9.569e-006,-0.00479228
9.57e-006,-0.00471827
9.571e-006,-0.00492181
9.572e-006,-0.00457025
9.573e-006,-0.00477378
9.574e-006,-0.00482929
9.575e-006,-0.00462576
9.576e-006,-0.0048848
9.577e-006,-0.00473678
9.578e-006,-0.00449624
9.579e-006,-0.00438522
9.58e-006,-0.00438522
9.581e-006,-0.00494031
9.582e-006,-0.00468127
9.583e-006,-0.00464426
9.584e-006,-0.00475528
9.585e-006,-0.00462576
9.586e-006,-0.00475528
9.587e-006,-0.00482929
9.588e-006,-0.00434821
9.589e-006,-0.00481079
9.59e-006,-0.00431121
9.591e-006,-0.00449624
9.592e-006,-0.00421869
9.593e-006,-0.00451474
9.594e-006,-0.00423719
9.595e-006,-0.00414468
9.596e-006,-0.00455175
9.597e-006,-0.00466276
9.598e-006,-0.00462576
9.599e-006,-0.00453324
9.6e-006,-0.00469977
9.601e-006,-0.00469977
9.602e-006,-0.00460725
9.603e-006,-0.00473678
9.604e-006,-0.00447773
9.605e-006,-0.00453324
9.606e-006,-0.00466276
9.607e-006,-0.00462576
9.608e-006,-0.00477378
9.609e-006,-0.00464426
9.61e-006,-0.00469977
9.611e-006,-0.00477378
9.612e-006,-0.00469977
9.613e-006,-0.00499582
9.614e-006,-0.0042557
9.615e-006,-0.00462576
9.616e-006,-0.00473678
9.617e-006,-0.00458875
9.618e-006,-0.00460725
9.619e-006,-0.00458875
9.62e-006,-0.00471827
9.621e-006,-0.00447773
9.622e-006,-0.00460725
9.623e-006,-0.00458875
9.624e-006,-0.00466276
9.625e-006,-0.00445923
9.626e-006,-0.0048848
9.627e-006,-0.00466276
9.628e-006,-0.00499582
9.629e-006,-0.00455175
9.63e-006,-0.00469977
9.631e-006,-0.00471827
9.632e-006,-0.00460725
9.633e-006,-0.00449624
9.634e-006,-0.00473678
9.635e-006,-0.00471827
9.636e-006,-0.0048663
9.637e-006,-0.00471827
9.638e-006,-0.00475528
9.639e-006,-0.00464426
9.64e-006,-0.00469977
9.641e-006,-0.00471827
9.642e-006,-0.00484779
9.643e-006,-0.0048663
9.644e-006,-0.00440372
9.645e-006,-0.00453324
9.646e-006,-0.00438522
9.647e-006,-0.00466276
9.648e-006,-0.00475528
9.649e-006,-0.00473678
9.65e-006,-0.00482929
9.651e-006,-0.00471827
9.652e-006,-0.00473678
9.653e-006,-0.00494031
9.654e-006,-0.00497731
9.655e-006,-0.00462576
9.656e-006,-0.0048848
9.657e-006,-0.00471827
9.658e-006,-0.0042557
9.659e-006,-0.00414468
9.66e-006,-0.00444073
9.661e-006,-0.00468127
9.662e-006,-0.00516234
9.663e-006,-0.00475528
9.664e-006,-0.0048663
9.665e-006,-0.00457025
9.666e-006,-0.00468127
9.667e-006,-0.00460725
9.668e-006,-0.00473678
9.669e-006,-0.00438522
9.67e-006,-0.00464426
9.671e-006,-0.00442222
9.672e-006,-0.00505133
9.673e-006,-0.00469977
9.674e-006,-0.00492181
