LECROYWR6100A,18120,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,11-Dec-2012 15:04:10,0                 
Time,Ampl
9.569e-006,-0.0260661
9.57e-006,-0.0258888
9.571e-006,-0.0260661
9.572e-006,-0.024943
9.573e-006,-0.026007
9.574e-006,-0.0261843
9.575e-006,-0.0251204
9.576e-006,-0.0256523
9.577e-006,-0.0248248
9.578e-006,-0.0261252
9.579e-006,-0.0259479
9.58e-006,-0.0251795
9.581e-006,-0.0268936
9.582e-006,-0.0261843
9.583e-006,-0.0262434
9.584e-006,-0.0258296
9.585e-006,-0.0257705
9.586e-006,-0.026007
9.587e-006,-0.0259479
9.588e-006,-0.0261252
9.589e-006,-0.0255932
9.59e-006,-0.025475
9.591e-006,-0.0257114
9.592e-006,-0.0250022
9.593e-006,-0.0258296
9.594e-006,-0.0256523
9.595e-006,-0.0263616
9.596e-006,-0.0254159
9.597e-006,-0.0258296
9.598e-006,-0.026007
9.599e-006,-0.0253568
9.6e-006,-0.0255932
9.601e-006,-0.0261252
9.602e-006,-0.0263025
9.603e-006,-0.0255341
9.604e-006,-0.0248839
9.605e-006,-0.0260661
9.606e-006,-0.0251204
9.607e-006,-0.0255341
9.608e-006,-0.0258296
9.609e-006,-0.026007
9.61e-006,-0.0256523
9.611e-006,-0.0251795
9.612e-006,-0.025475
9.613e-006,-0.0264798
9.614e-006,-0.0261252
9.615e-006,-0.0261843
9.616e-006,-0.0264207
9.617e-006,-0.0253568
9.618e-006,-0.0248839
9.619e-006,-0.0260661
9.62e-006,-0.0258296
9.621e-006,-0.026007
9.622e-006,-0.0247066
9.623e-006,-0.0248839
9.624e-006,-0.026007
9.625e-006,-0.0260661
9.626e-006,-0.0256523
9.627e-006,-0.0253568
9.628e-006,-0.0255932
9.629e-006,-0.0263616
9.63e-006,-0.0247066
9.631e-006,-0.0259479
9.632e-006,-0.0251795
9.633e-006,-0.025475
9.634e-006,-0.0254159
9.635e-006,-0.0247066
9.636e-006,-0.0258888
9.637e-006,-0.0257114
9.638e-006,-0.0250022
9.639e-006,-0.0263616
9.64e-006,-0.0253568
9.641e-006,-0.0253568
9.642e-006,-0.024943
9.643e-006,-0.0258888
9.644e-006,-0.0250022
9.645e-006,-0.0258296
9.646e-006,-0.0254159
9.647e-006,-0.0252977
9.648e-006,-0.0251204
9.649e-006,-0.0261252
9.65e-006,-0.0250022
9.651e-006,-0.0257705
9.652e-006,-0.026007
9.653e-006,-0.026007
9.654e-006,-0.0250022
9.655e-006,-0.0261843
9.656e-006,-0.0251795
9.657e-006,-0.0263025
9.658e-006,-0.0256523
9.659e-006,-0.0263616
9.66e-006,-0.0258888
9.661e-006,-0.0259479
9.662e-006,-0.0246475
9.663e-006,-0.026007
9.664e-006,-0.0248248
9.665e-006,-0.0250613
9.666e-006,-0.0256523
9.667e-006,-0.026007
9.668e-006,-0.0248248
9.669e-006,-0.0252977
9.67e-006,-0.0252386
9.671e-006,-0.0263025
9.672e-006,-0.0261252
9.673e-006,-0.0257705
9.674e-006,-0.0252977
9.675e-006,-0.0252386
9.676e-006,-0.026007
9.677e-006,-0.0270709
9.678e-006,-0.026007
9.679e-006,-0.025475
9.68e-006,-0.0257705
9.681e-006,-0.0253568
9.682e-006,-0.0262434
9.683e-006,-0.0248248
9.684e-006,-0.0253568
9.685e-006,-0.0263025
9.686e-006,-0.025475
9.687e-006,-0.0251795
9.688e-006,-0.0253568
9.689e-006,-0.0263616
9.69e-006,-0.0260661
9.691e-006,-0.0258296
9.692e-006,-0.0244702
9.693e-006,-0.0255341
9.694e-006,-0.0256523
9.695e-006,-0.0258888
9.696e-006,-0.0261252
9.697e-006,-0.0268345
9.698e-006,-0.026598
9.699e-006,-0.0255932
9.7e-006,-0.0251204
9.701e-006,-0.0264207
9.702e-006,-0.0257705
9.703e-006,-0.0255341
9.704e-006,-0.0261252
9.705e-006,-0.0257705
9.706e-006,-0.0255932
9.707e-006,-0.0257114
9.708e-006,-0.0254159
9.709e-006,-0.0256523
9.71e-006,-0.0251204
9.711e-006,-0.025475
9.712e-006,-0.0258296
9.713e-006,-0.0253568
9.714e-006,-0.0252386
9.715e-006,-0.026007
9.716e-006,-0.0250613
9.717e-006,-0.026007
9.718e-006,-0.0257114
9.719e-006,-0.0251795
9.72e-006,-0.0254159
9.721e-006,-0.0261843
9.722e-006,-0.0257114
9.723e-006,-0.0252977
9.724e-006,-0.0253568
9.725e-006,-0.0268936
9.726e-006,-0.0255341
9.727e-006,-0.0255932
9.728e-006,-0.0258888
9.729e-006,-0.0250022
9.73e-006,-0.0267754
9.731e-006,-0.0247066
9.732e-006,-0.0255341
9.733e-006,-0.026007
9.734e-006,-0.0258296
9.735e-006,-0.0248839
9.736e-006,-0.0256523
9.737e-006,-0.0269527
9.738e-006,-0.024943
9.739e-006,-0.026007
9.74e-006,-0.0252977
9.741e-006,-0.0258296
9.742e-006,-0.0251795
9.743e-006,-0.0250613
9.744e-006,-0.0258296
9.745e-006,-0.0261252
9.746e-006,-0.0248839
9.747e-006,-0.0251795
9.748e-006,-0.0255341
9.749e-006,-0.0260661
9.75e-006,-0.0255341
9.751e-006,-0.0262434
9.752e-006,-0.0270709
9.753e-006,-0.0255932
9.754e-006,-0.0259479
9.755e-006,-0.0255341
9.756e-006,-0.0252977
9.757e-006,-0.0265389
9.758e-006,-0.0270118
9.759e-006,-0.0257114
9.76e-006,-0.0250022
9.761e-006,-0.0258888
9.762e-006,-0.0259479
9.763e-006,-0.0261252
9.764e-006,-0.0255341
9.765e-006,-0.0260661
9.766e-006,-0.0263616
9.767e-006,-0.0257705
9.768e-006,-0.0247066
9.769e-006,-0.0261252
9.77e-006,-0.0261843
9.771e-006,-0.0255932
9.772e-006,-0.0251795
9.773e-006,-0.0264798
9.774e-006,-0.0250613
9.775e-006,-0.0250613
9.776e-006,-0.0255932
9.777e-006,-0.0248248
9.778e-006,-0.024943
9.779e-006,-0.0259479
9.78e-006,-0.024943
9.781e-006,-0.0254159
9.782e-006,-0.0252977
9.783e-006,-0.0250022
9.784e-006,-0.0257705
9.785e-006,-0.0255341
9.786e-006,-0.0252386
9.787e-006,-0.0257705
9.788e-006,-0.0248839
9.789e-006,-0.0251204
9.79e-006,-0.0258296
9.791e-006,-0.0250613
9.792e-006,-0.0260661
9.793e-006,-0.0261252
9.794e-006,-0.0265389
9.795e-006,-0.025475
9.796e-006,-0.0251204
9.797e-006,-0.0261843
9.798e-006,-0.0247657
9.799e-006,-0.0257114
9.8e-006,-0.0258888
9.801e-006,-0.026007
9.802e-006,-0.0250022
9.803e-006,-0.0263025
9.804e-006,-0.0251204
9.805e-006,-0.0255341
9.806e-006,-0.0262434
9.807e-006,-0.0257114
9.808e-006,-0.0251795
9.809e-006,-0.0252386
9.81e-006,-0.0260661
9.811e-006,-0.0257114
9.812e-006,-0.0263025
9.813e-006,-0.025475
9.814e-006,-0.0255932
9.815e-006,-0.0258888
9.816e-006,-0.0245293
9.817e-006,-0.0263616
9.818e-006,-0.0261252
9.819e-006,-0.0250613
9.82e-006,-0.0258888
9.821e-006,-0.0263025
9.822e-006,-0.0254159
9.823e-006,-0.0265389
9.824e-006,-0.0250613
9.825e-006,-0.0257114
9.826e-006,-0.0262434
9.827e-006,-0.0256523
9.828e-006,-0.024352
9.829e-006,-0.0263025
9.83e-006,-0.0252977
9.831e-006,-0.0256523
9.832e-006,-0.0254159
9.833e-006,-0.0258296
9.834e-006,-0.026007
9.835e-006,-0.0256523
9.836e-006,-0.0258296
9.837e-006,-0.0254159
9.838e-006,-0.0257705
9.839e-006,-0.0258888
9.84e-006,-0.025475
9.841e-006,-0.0264798
9.842e-006,-0.0255932
9.843e-006,-0.0251204
9.844e-006,-0.0253568
9.845e-006,-0.0257705
9.846e-006,-0.024943
9.847e-006,-0.0258888
9.848e-006,-0.0259479
9.849e-006,-0.0258888
9.85e-006,-0.0244702
9.851e-006,-0.0260661
9.852e-006,-0.024943
9.853e-006,-0.0261843
9.854e-006,-0.0257114
9.855e-006,-0.024943
9.856e-006,-0.0259479
9.857e-006,-0.0256523
9.858e-006,-0.0259479
9.859e-006,-0.0259479
9.86e-006,-0.0263025
9.861e-006,-0.0264207
9.862e-006,-0.0252977
9.863e-006,-0.0252977
9.864e-006,-0.0254159
9.865e-006,-0.0257114
9.866e-006,-0.0257705
9.867e-006,-0.0251795
9.868e-006,-0.0247657
9.869e-006,-0.0248839
9.87e-006,-0.0248839
9.871e-006,-0.0248248
9.872e-006,-0.0255932
9.873e-006,-0.0256523
9.874e-006,-0.0251795
9.875e-006,-0.0255341
9.876e-006,-0.0253568
9.877e-006,-0.0257705
9.878e-006,-0.0258296
9.879e-006,-0.025475
9.88e-006,-0.0257114
9.881e-006,-0.0261843
9.882e-006,-0.0240564
9.883e-006,-0.0263025
9.884e-006,-0.0263616
9.885e-006,-0.0258296
9.886e-006,-0.0252977
9.887e-006,-0.0264798
9.888e-006,-0.0251795
9.889e-006,-0.026007
9.89e-006,-0.0258296
9.891e-006,-0.0257705
9.892e-006,-0.0247657
9.893e-006,-0.0254159
9.894e-006,-0.0255341
9.895e-006,-0.0258296
9.896e-006,-0.0261252
9.897e-006,-0.0251795
9.898e-006,-0.0255932
9.899e-006,-0.0257705
9.9e-006,-0.0252977
9.901e-006,-0.0260661
9.902e-006,-0.0252977
9.903e-006,-0.0253568
9.904e-006,-0.026598
9.905e-006,-0.0260661
9.906e-006,-0.0254159
9.907e-006,-0.0260661
9.908e-006,-0.0257114
9.909e-006,-0.0255341
9.91e-006,-0.0253568
9.911e-006,-0.0255932
9.912e-006,-0.0254159
9.913e-006,-0.0251204
9.914e-006,-0.0254159
9.915e-006,-0.0259479
9.916e-006,-0.0251795
9.917e-006,-0.0264207
9.918e-006,-0.0254159
9.919e-006,-0.0260661
9.92e-006,-0.0258888
9.921e-006,-0.0250613
9.922e-006,-0.0253568
9.923e-006,-0.0258296
9.924e-006,-0.0250022
9.925e-006,-0.0257705
9.926e-006,-0.0258296
9.927e-006,-0.0251795
9.928e-006,-0.0264207
9.929e-006,-0.0257114
9.93e-006,-0.0258296
9.931e-006,-0.0255932
9.932e-006,-0.0250022
9.933e-006,-0.0259479
9.934e-006,-0.024943
9.935e-006,-0.0260661
9.936e-006,-0.0253568
9.937e-006,-0.0262434
9.938e-006,-0.0264798
9.939e-006,-0.0250613
9.94e-006,-0.0258888
9.941e-006,-0.0252386
9.942e-006,-0.0257114
9.943e-006,-0.0248839
9.944e-006,-0.0250613
9.945e-006,-0.0259479
9.946e-006,-0.0262434
9.947e-006,-0.0255341
9.948e-006,-0.0250022
9.949e-006,-0.0250613
9.95e-006,-0.024943
9.951e-006,-0.024943
9.952e-006,-0.0251204
9.953e-006,-0.0260661
9.954e-006,-0.0258888
9.955e-006,-0.0257705
9.956e-006,-0.0260661
9.957e-006,-0.026007
9.958e-006,-0.0255932
9.959e-006,-0.0256523
9.96e-006,-0.0259479
9.961e-006,-0.0261252
9.962e-006,-0.0257705
9.963e-006,-0.024943
9.964e-006,-0.0250022
9.965e-006,-0.0257114
9.966e-006,-0.0252977
9.967e-006,-0.026007
9.968e-006,-0.025475
9.969e-006,-0.0252977
9.97e-006,-0.0251795
9.971e-006,-0.0252977
9.972e-006,-0.0259479
9.973e-006,-0.0256523
9.974e-006,-0.0255341
9.975e-006,-0.0255341
9.976e-006,-0.0246475
9.977e-006,-0.0253568
9.978e-006,-0.0260661
9.979e-006,-0.0258296
9.98e-006,-0.0263025
9.981e-006,-0.0256523
9.982e-006,-0.0261252
9.983e-006,-0.0255341
9.984e-006,-0.0258296
9.985e-006,-0.0251204
9.986e-006,-0.025475
9.987e-006,-0.0248839
9.988e-006,-0.0256523
9.989e-006,-0.0257705
9.99e-006,-0.0256523
9.991e-006,-0.0248839
9.992e-006,-0.0250022
9.993e-006,-0.026007
9.994e-006,-0.0256523
9.995e-006,-0.0263616
9.996e-006,-0.0251204
9.997e-006,-0.0255341
9.998e-006,-0.0258296
9.999e-006,-0.0251795
1e-005,-0.0253568
1.0001e-005,-0.0250022
1.0002e-005,-0.0261252
1.0003e-005,-0.0252977
1.0004e-005,-0.0252977
1.0005e-005,-0.0263025
1.0006e-005,-0.0251795
1.0007e-005,-0.0245293
1.0008e-005,-0.0257114
1.0009e-005,-0.025475
1.001e-005,-0.0261252
1.0011e-005,-0.0261843
1.0012e-005,-0.0248839
1.0013e-005,-0.0258888
1.0014e-005,-0.0254159
1.0015e-005,-0.0255932
1.0016e-005,-0.0257705
1.0017e-005,-0.0255341
1.0018e-005,-0.0261843
1.0019e-005,-0.0261252
1.002e-005,-0.0245884
