Energy (eV),Cross Section (cm^2)
1.219231251649110703e+01,0.000000000000000000e+00
1.224864613750931319e+01,0.000000000000000000e+00
1.230524004359261525e+01,0.000000000000000000e+00
1.236209543736768524e+01,0.000000000000000000e+00
1.241921352701784009e+01,0.000000000000000000e+00
1.247659552630869939e+01,0.000000000000000000e+00
1.253424265461400289e+01,0.000000000000000000e+00
1.259215613694151159e+01,0.000000000000000000e+00
1.265033720395903138e+01,0.000000000000000000e+00
1.270878709202058943e+01,0.000000000000000000e+00
1.276750704319265672e+01,0.000000000000000000e+00
1.282649830528060342e+01,0.000000000000000000e+00
1.288576213185518249e+01,0.000000000000000000e+00
1.294529978227915379e+01,0.000000000000000000e+00
1.300511252173409105e+01,0.000000000000000000e+00
1.306520162124721196e+01,0.000000000000000000e+00
1.312556835771843389e+01,0.000000000000000000e+00
1.318621401394748283e+01,0.000000000000000000e+00
1.324713987866116938e+01,0.000000000000000000e+00
1.330834724654075352e+01,0.000000000000000000e+00
1.336983741824946570e+01,0.000000000000000000e+00
1.343161170046015940e+01,0.000000000000000000e+00
1.349367140588306491e+01,0.000000000000000000e+00
1.355601785329368170e+01,0.000000000000000000e+00
1.361865236756081821e+01,0.000000000000000000e+00
1.368157627967472045e+01,0.000000000000000000e+00
1.374479092677537295e+01,0.000000000000000000e+00
1.380829765218092398e+01,0.000000000000000000e+00
1.387209780541620319e+01,0.000000000000000000e+00
1.393619274224142757e+01,0.000000000000000000e+00
1.400058382468097484e+01,0.000000000000000000e+00
1.406527242105237185e+01,0.000000000000000000e+00
1.413025990599533621e+01,0.000000000000000000e+00
1.419554766050101335e+01,0.000000000000000000e+00
1.426113707194129177e+01,0.000000000000000000e+00
1.432702953409831004e+01,0.000000000000000000e+00
1.439322644719407229e+01,0.000000000000000000e+00
1.445972921792019505e+01,0.000000000000000000e+00
1.452653925946781222e+01,0.000000000000000000e+00
1.459365799155756882e+01,0.000000000000000000e+00
1.466108684046984578e+01,0.000000000000000000e+00
1.472882723907502367e+01,0.000000000000000000e+00
1.479688062686396322e+01,0.000000000000000000e+00
1.486524844997857286e+01,0.000000000000000000e+00
1.493393216124252554e+01,0.000000000000000000e+00
1.500293322019218323e+01,0.000000000000000000e+00
1.507225309310756423e+01,0.000000000000000000e+00
1.514189325304351996e+01,0.000000000000000000e+00
1.521185517986104863e+01,0.000000000000000000e+00
1.528214036025870115e+01,0.000000000000000000e+00
1.535275028780422701e+01,0.000000000000000000e+00
1.542368646296628221e+01,0.000000000000000000e+00
1.549495039314631661e+01,0.000000000000000000e+00
1.556654359271061949e+01,0.000000000000000000e+00
1.563846758302246975e+01,0.000000000000000000e+00
1.571072389247450651e+01,0.000000000000000000e+00
1.578331405652117247e+01,0.000000000000000000e+00
1.585623961771137225e+01,0.000000000000000000e+00
1.592950212572123014e+01,0.000000000000000000e+00
1.600310313738700785e+01,0.000000000000000000e+00
1.607704421673823703e+01,0.000000000000000000e+00
1.615132693503090522e+01,0.000000000000000000e+00
1.622595287078087267e+01,0.000000000000000000e+00
1.630092360979741173e+01,0.000000000000000000e+00
1.637624074521688300e+01,0.000000000000000000e+00
1.645190587753662470e+01,0.000000000000000000e+00
1.652792061464894857e+01,0.000000000000000000e+00
1.660428657187529566e+01,0.000000000000000000e+00
1.668100537200059108e+01,0.000000000000000000e+00
1.675807864530768043e+01,0.000000000000000000e+00
1.683550802961202209e+01,0.000000000000000000e+00
1.691329517029647889e+01,0.000000000000000000e+00
1.699144172034625910e+01,0.000000000000000000e+00
1.706994934038407763e+01,0.000000000000000000e+00
1.714881969870539891e+01,0.000000000000000000e+00
1.722805447131393919e+01,0.000000000000000000e+00
1.730765534195725053e+01,0.000000000000000000e+00
1.738762400216250370e+01,0.000000000000000000e+00
1.746796215127245588e+01,0.000000000000000000e+00
1.754867149648151070e+01,0.000000000000000000e+00
1.762975375287205893e+01,0.000000000000000000e+00
1.771121064345087603e+01,0.000000000000000000e+00
1.779304389918577201e+01,0.000000000000000000e+00
1.787525525904235479e+01,0.000000000000000000e+00
1.795784647002095724e+01,0.000000000000000000e+00
1.804081928719382688e+01,0.000000000000000000e+00
1.812417547374236548e+01,0.000000000000000000e+00
1.820791680099462440e+01,0.000000000000000000e+00
1.829204504846293844e+01,0.000000000000000000e+00
