Temperatures,+-,Metastables,+-
1.867106236347413812e+02,2.891453898726751959e+01,6.588185960186233750e+14,4.317034581522225781e+13
1.714036048291115435e+02,2.926000636973351021e+01,6.337155699783541250e+14,4.571608432859114062e+13
1.839944401759613299e+02,3.612153540046818279e+01,6.425013162247475000e+14,5.335569959712757812e+13
2.144535117869480985e+02,4.429229803203771354e+01,6.423337385598606250e+14,5.621784487038799219e+13
2.364477315615887107e+02,5.142630735634483585e+01,6.297437148702405000e+14,5.808470585130927344e+13
2.493430564163990368e+02,5.397621878419086272e+01,6.528599590274930000e+14,5.998675723928171875e+13
2.610236311373747640e+02,5.742934625202831000e+01,6.626661493855086250e+14,6.190532325256953125e+13
2.544635572809964685e+02,5.194393081613786478e+01,6.758070894563775000e+14,5.856850888899319531e+13
2.393025363478493830e+02,4.469426839814585861e+01,6.956796781583281250e+14,5.514891467940098438e+13
2.270591928836327611e+02,4.058939938242848200e+01,6.915061400804546250e+14,5.242874426670967969e+13
2.122516415047388705e+02,3.773573669778026840e+01,6.815717230564922500e+14,5.135554432586515625e+13
2.178422219087547091e+02,3.778389861536776806e+01,6.848108130507806250e+14,5.035492502957488281e+13
2.269360398472489635e+02,3.918458525856553365e+01,6.717412166735030000e+14,4.919440556679076562e+13
2.222738327024597424e+02,4.045817352101322228e+01,6.510106673108442500e+14,5.023517200651565625e+13
2.530058597449809952e+02,5.405331039105715263e+01,6.645853553834933750e+14,6.027934636295159375e+13
2.723653439810453278e+02,6.324353152012906776e+01,6.808202373667356250e+14,6.717187640069510156e+13
2.764027827279680878e+02,6.359073110565498155e+01,6.915924635196353750e+14,6.761555422030181250e+13
2.761564090983898154e+02,5.698627120567458348e+01,7.190839486157561250e+14,6.308441167460028906e+13
2.565784630461603797e+02,4.935046431086147578e+01,7.327977385170697500e+14,5.988638955135816406e+13
2.511907799223297104e+02,4.324148375929038934e+01,7.152925200538590000e+14,5.229001822255275781e+13
2.347613193917627257e+02,3.919977845495419189e+01,7.018629559551422500e+14,4.972956562042750000e+13
2.251866692881842482e+02,3.904475612438206156e+01,7.011044411569772500e+14,5.156946489238191406e+13
2.291002385448284997e+02,3.870923192008244484e+01,6.874057388594926250e+14,4.926428294479692188e+13
2.322072861570512430e+02,4.219427783107705920e+01,6.767162899931425000e+14,5.215870746734134375e+13
2.498138293991555088e+02,4.903163842208780210e+01,6.861931037718960000e+14,5.718279344719049219e+13
2.629971471716707470e+02,5.320204823807786454e+01,6.921629343421013750e+14,5.947403222299689844e+13
2.758723934609810158e+02,6.165409608456845802e+01,6.822169009844597500e+14,6.478112815542021094e+13
2.653521896309846966e+02,6.082498851557081565e+01,6.525383489105423750e+14,6.352936487689232812e+13
2.427418689810396302e+02,5.088367821871348440e+01,6.329628796454748750e+14,5.628218255683039062e+13
2.579646267104682238e+02,5.382776727684856866e+01,6.489501266283586250e+14,5.748478684057051562e+13
2.412443784354238971e+02,4.907300350247458454e+01,6.643409882389911250e+14,5.734512027843115625e+13
2.427842700461700645e+02,5.173019632663741163e+01,6.720324344902152500e+14,6.077128824277297656e+13
2.678981526261256363e+02,5.292117087361113903e+01,7.070299238172913750e+14,5.934099692331878125e+13
2.620593584453632161e+02,4.914922277556803465e+01,7.533311773245745000e+14,6.005412664074703906e+13
2.640615906963171824e+02,4.930112792351732054e+01,7.285308093221097500e+14,5.779935801998075000e+13
2.608152952750406826e+02,4.578892543363409828e+01,6.921449330799260000e+14,5.161559925807061719e+13
2.633549311172091052e+02,4.616639059580789706e+01,6.954827030700982500e+14,5.178896874716232812e+13
2.643391992066142961e+02,4.531679944287120065e+01,6.849393806186125000e+14,4.988419504622721094e+13
2.466707581169071659e+02,4.362112137014435120e+01,6.648616930093597500e+14,4.989623940496181250e+13
2.248630491140791037e+02,4.451378667446315518e+01,6.563376110531330000e+14,5.509415529751458594e+13
2.167473464543854220e+02,4.477050094871945873e+01,6.898068979713247500e+14,6.041248626185285156e+13
2.093555789375087670e+02,4.373848417048200332e+01,7.048184974460996250e+14,6.241161662233276562e+13
2.009654969690830342e+02,4.178165899816421103e+01,7.130825891199433750e+14,6.281500249580759375e+13
2.202355456715805815e+02,4.171468373224234938e+01,7.422359004451893750e+14,5.964022766964157812e+13
2.202464967733631909e+02,3.902044489288245188e+01,7.526264773896377500e+14,5.657134371258257812e+13
2.283107098254194511e+02,3.483785043926622649e+01,7.697145104499851250e+14,4.986359989513655469e+13
2.541331639441669665e+02,4.219770184914361266e+01,7.843227803058142500e+14,5.535275600525651562e+13
2.308564859214033902e+02,4.163965375586892748e+01,7.511969710623026250e+14,5.751116257337083594e+13
2.225015373699786210e+02,4.347268421223390078e+01,7.193105851959242500e+14,5.960982484757119531e+13
2.255130124627715702e+02,4.682859332994173229e+01,7.237314011217911250e+14,6.376975856517513281e+13
2.289942973756966182e+02,4.401303334766993203e+01,7.399652546597722500e+14,6.036383242402675781e+13
2.407518369894187629e+02,4.622257214486312904e+01,7.453202839596700000e+14,6.075945138676881250e+13
2.327230833850943270e+02,4.386539088667762343e+01,7.399421263002096250e+14,5.919812462901591406e+13
2.344197673782343827e+02,4.129405091479875978e+01,7.603647512383731250e+14,5.687402653436660938e+13
2.341169368745522092e+02,3.851601278568369935e+01,7.673722448349627500e+14,5.360365386278567188e+13
2.327252047916550453e+02,3.512546584874252886e+01,7.457150750264377500e+14,4.777843894714232812e+13
2.350850785144645840e+02,3.591925197835263361e+01,7.321985441728102500e+14,4.748807679779528125e+13
2.255651113910928416e+02,3.468039822617248547e+01,7.079169021679170000e+14,4.617125030067291406e+13
2.131358506068187353e+02,3.693165260079970835e+01,6.734781047284981250e+14,4.945859872682129688e+13
2.071763918662153685e+02,3.899584330078681660e+01,6.767493727224643750e+14,5.396728997286056250e+13
2.074099431864988219e+02,3.829923087164917206e+01,6.767872724917637500e+14,5.295414764441164062e+13
2.045706942873472940e+02,3.724943985169501559e+01,6.561067943464647500e+14,5.059681344330607812e+13
2.113217746397227188e+02,3.497360870202177807e+01,6.503590574225345000e+14,4.560096905742380469e+13
2.142813468712173233e+02,3.798098681229037510e+01,6.413310658978713750e+14,4.816787297339632031e+13
2.266953508851156585e+02,4.349476428589406396e+01,6.513138675756125000e+14,5.298889537723335156e+13
2.458186692466001944e+02,4.804364415609110495e+01,6.776658125484333750e+14,5.621988893477682812e+13
2.581196628840662584e+02,5.402458157989292431e+01,6.877369578229377500e+14,6.112968130661770312e+13
2.638697444952040314e+02,5.046823209273870248e+01,7.100250390006825000e+14,5.769246951941796094e+13
2.531799576160570950e+02,4.915664069741777809e+01,7.161811795623532500e+14,5.905364232371265625e+13
2.532846445287183030e+02,5.112057324902435340e+01,7.219671400771915000e+14,6.189707038172963281e+13
2.591671105093004144e+02,5.391944138478505266e+01,7.339719962546497500e+14,6.487533680807767969e+13
2.605805377809966785e+02,6.147547312818564791e+01,7.020236253891252500e+14,7.034394676636422656e+13
2.504308357660737840e+02,5.995453341338108544e+01,6.783928613694155000e+14,6.894308227544485938e+13
2.533921813381421941e+02,5.923186139915622306e+01,6.698561661947450000e+14,6.648188019199700000e+13
2.783109128391429294e+02,6.087734776481576660e+01,6.590565180128880000e+14,6.125726520372773438e+13
2.822617438220449344e+02,5.779187931392105781e+01,6.583982502369066250e+14,5.728014912021852344e+13
2.724035947616973203e+02,5.818803082757301581e+01,6.548002330151940000e+14,5.942268348786364844e+13
2.716040435729601654e+02,5.950111702165794014e+01,6.658902592059476250e+14,6.197497579429491406e+13
2.567667026992205024e+02,5.499210307103135875e+01,6.855013057600177500e+14,6.234901030097567969e+13
2.457799870707234220e+02,4.582894596394353925e+01,7.113506397473105000e+14,5.631852772231996875e+13
2.474394627839744203e+02,3.812617104244328914e+01,7.498091469470806250e+14,4.907863089938941406e+13
2.473008338621560540e+02,4.210389524877916045e+01,7.666326688094412500e+14,5.544738256759004688e+13
2.666644161132237514e+02,5.009798272389502927e+01,7.734233686858475000e+14,6.177210963295735156e+13
2.809801568109812706e+02,5.617096437091534966e+01,7.631469964222011250e+14,6.489339454668191406e+13
2.663587496541389328e+02,5.556157994813228385e+01,7.449925551767777500e+14,6.604444706287546875e+13
2.446376682935951123e+02,5.287395266900002611e+01,7.296208140403330000e+14,6.696772485525821094e+13
2.258707141885265344e+02,4.362676484086947681e+01,6.764529996155032500e+14,5.541681214763980469e+13
2.046800488719931650e+02,3.709092359063549793e+01,6.353603471088767500e+14,4.875282419727332031e+13
1.983804976211830251e+02,3.409292928990529958e+01,6.210514515394935000e+14,4.517977840316113281e+13
2.060175198906094920e+02,3.630699252953669998e+01,6.117044946412410000e+14,4.564830700547482031e+13
2.134110780839043571e+02,3.670198788331291695e+01,6.176202076751531250e+14,4.499549315895194531e+13
2.270827230447477518e+02,4.789044987643578821e+01,6.108745516884921250e+14,5.460881029547533594e+13
2.229568957562518392e+02,5.315290973588415824e+01,6.145463374800430000e+14,6.209012004337673438e+13
2.267423064443277099e+02,5.185668913571974059e+01,6.539574138640097500e+14,6.341814098752160938e+13
2.287639462428734021e+02,5.030856229068896113e+01,6.856331714259058750e+14,6.395227108349701562e+13
2.064808997771889381e+02,4.407170574897186555e+01,6.949404664322178750e+14,6.284896700194917969e+13
2.101546811225027511e+02,4.724967744890837906e+01,7.090179281990502500e+14,6.758081842371552344e+13
2.190429694635853934e+02,4.733141078532224810e+01,7.050560451787686250e+14,6.461038297237970312e+13
2.354724222206482693e+02,5.235597568474824470e+01,7.038925404944225000e+14,6.641327309421360156e+13
