389,396,402,447,492,501,587,667,707,728
2.403616662464348505e-09,-3.344087084700948483e-10,6.813546598683736506e-10,-1.519147407059636703e-09,3.545618112776895425e-09,1.086869671889745942e-08,-7.274684475811245524e-09,1.214196539592664604e-08,-5.765580059176904126e-09,-3.120035557234121013e-09
-8.648569537359559729e-10,4.531739878309796512e-10,1.316896329032021884e-10,5.234303902448877521e-10,-1.180249610421387572e-09,4.309967645754267031e-09,-3.268227273195070349e-09,2.357036622825086694e-09,4.315224439713260987e-09,-1.420286452376200520e-08
-3.045531121066312275e-09,4.846799225457401321e-10,-2.462001775808487390e-10,7.672212320985179053e-09,6.334025242931242597e-11,9.556950904268778094e-09,2.277130879598850661e-08,2.518988739061102003e-08,-8.286278166964793469e-09,2.662351442808139852e-09
7.693798543641816869e-10,-2.713968390405746618e-10,-5.210405239506430731e-10,5.234303902448877521e-10,3.122090545765235195e-10,5.621713460382947529e-09,-1.929266422776182408e-08,-1.395286587053040313e-08,-1.962743171974894503e-08,2.662351442808139852e-09
3.493107867864440485e-09,5.476753740832773850e-10,-5.210405239506430731e-10,-4.978585084073744237e-10,-9.313808082741927381e-10,-2.252835172154757560e-09,1.876554752132136820e-08,-2.373779464363196206e-08,-2.340649094916917130e-08,5.071599909272607514e-09
7.693798543641816869e-10,-2.398909043258141292e-10,3.378198926805479519e-10,-3.050960575125258053e-09,3.122090545765235195e-10,1.742742579204057819e-08,1.676197095603870102e-08,1.703544250538916816e-08,-3.244881951388928343e-09,4.107709842159203393e-09
-4.679767929166450452e-09,-7.124470892632518576e-10,-1.431350476921766974e-10,3.587056726376130763e-09,-3.169691731828414186e-09,4.309967645754267031e-09,4.743991204088245717e-09,-2.536440486637435838e-09,-3.244881951388928343e-09,-9.865835923070756593e-09
1.330191222952564194e-08,3.901621184014594647e-10,-7.444062687414356217e-11,3.076532456962771588e-09,3.122090545765235195e-10,-3.564580986783367748e-09,2.677776599860468344e-08,1.866592639326883386e-08,-5.765580059176904126e-09,-7.938532490163029868e-09
-6.858750339966662536e-09,-4.919219641519127686e-10,1.316896329032021884e-10,8.182736590398539054e-09,-1.677610140773148310e-09,-4.876326801412048660e-09,-3.531710118232845455e-08,-9.049438758460068032e-10,4.315224439713260987e-09,6.516958308623645413e-09
