LECROYWR6100A,18120,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,11-Dec-2012 11:20:40,0                 
Time,Ampl
9.569e-006,-0.0161085
9.57e-006,-0.0162977
9.571e-006,-0.0161716
9.572e-006,-0.0163607
9.573e-006,-0.0164238
9.574e-006,-0.0162977
9.575e-006,-0.0159509
9.576e-006,-0.0161716
9.577e-006,-0.0162662
9.578e-006,-0.0165183
9.579e-006,-0.016014
9.58e-006,-0.0162346
9.581e-006,-0.0165814
9.582e-006,-0.0162977
9.583e-006,-0.0163292
9.584e-006,-0.0164238
9.585e-006,-0.0162031
9.586e-006,-0.0160455
9.587e-006,-0.0161085
9.588e-006,-0.016077
9.589e-006,-0.0165814
9.59e-006,-0.0162031
9.591e-006,-0.0162662
9.592e-006,-0.0163607
9.593e-006,-0.0164553
9.594e-006,-0.0161401
9.595e-006,-0.0161085
9.596e-006,-0.0163292
9.597e-006,-0.0161401
9.598e-006,-0.0162977
9.599e-006,-0.0165814
9.6e-006,-0.0164238
9.601e-006,-0.0165814
9.602e-006,-0.0162662
9.603e-006,-0.0162662
9.604e-006,-0.0164553
9.605e-006,-0.0164553
9.606e-006,-0.0163292
9.607e-006,-0.0159509
9.608e-006,-0.0163607
9.609e-006,-0.0163292
9.61e-006,-0.0166129
9.611e-006,-0.0164553
9.612e-006,-0.0161716
9.613e-006,-0.0163923
9.614e-006,-0.0163607
9.615e-006,-0.0163607
9.616e-006,-0.016676
9.617e-006,-0.0164553
9.618e-006,-0.0162662
9.619e-006,-0.0161401
9.62e-006,-0.0164868
9.621e-006,-0.0166129
9.622e-006,-0.0163292
9.623e-006,-0.0162977
9.624e-006,-0.0161085
9.625e-006,-0.016014
9.626e-006,-0.0164238
9.627e-006,-0.0160455
9.628e-006,-0.0165183
9.629e-006,-0.0163923
9.63e-006,-0.0159194
9.631e-006,-0.0164868
9.632e-006,-0.016739
9.633e-006,-0.0162662
9.634e-006,-0.0162977
9.635e-006,-0.0162977
9.636e-006,-0.0163292
9.637e-006,-0.0164553
9.638e-006,-0.0163923
9.639e-006,-0.0162662
9.64e-006,-0.0162977
9.641e-006,-0.0161085
9.642e-006,-0.0165183
9.643e-006,-0.0161716
9.644e-006,-0.0162031
9.645e-006,-0.0163607
9.646e-006,-0.0159194
9.647e-006,-0.0158879
