LECROYWR6100A,18120,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,11-Dec-2012 17:59:35,0                 
Time,Ampl
9.569e-006,-0.000123525
9.57e-006,-0.00011513
9.571e-006,-0.00013072
9.572e-006,-0.000110333
9.573e-006,-0.000124724
9.574e-006,-0.000151108
9.575e-006,-0.00011513
9.576e-006,-0.000129521
9.577e-006,-0.000100739
9.578e-006,-0.000125923
9.579e-006,-0.000146311
9.58e-006,-0.000101938
9.581e-006,-0.000151108
9.582e-006,-0.00011513
9.583e-006,-0.000122326
9.584e-006,-9.11446e-005
9.585e-006,-0.000122326
9.586e-006,-0.000104337
9.587e-006,-0.000118728
9.588e-006,-8.75468e-005
9.589e-006,-0.000121126
9.59e-006,-0.000149909
9.591e-006,-9.35431e-005
9.592e-006,-0.000125923
9.593e-006,-9.59417e-005
9.594e-006,-0.000121126
9.595e-006,-0.000142713
9.596e-006,-8.75468e-005
9.597e-006,-0.000109134
9.598e-006,-0.000137916
9.599e-006,-0.000129521
9.6e-006,-0.000107934
9.601e-006,-0.000137916
9.602e-006,-9.59417e-005
9.603e-006,-0.000109134
9.604e-006,-0.000119927
9.605e-006,-0.000135518
9.606e-006,-0.000143912
9.607e-006,-0.000136717
9.608e-006,-0.000141514
9.609e-006,-0.000122326
9.61e-006,-0.000122326
9.611e-006,-0.000113931
9.612e-006,-0.000118728
9.613e-006,-0.000142713
9.614e-006,-0.000133119
9.615e-006,-0.000140315
9.616e-006,-0.000151108
9.617e-006,-0.000106735
9.618e-006,-0.000105536
9.619e-006,-0.000127123
9.62e-006,-0.000103137
9.621e-006,-0.000125923
9.622e-006,-0.000134318
9.623e-006,-9.47424e-005
9.624e-006,-0.000122326
9.625e-006,-0.000103137
9.626e-006,-0.000113931
9.627e-006,-0.000118728
9.628e-006,-0.000121126
9.629e-006,-0.000123525
9.63e-006,-0.000119927
9.631e-006,-9.59417e-005
9.632e-006,-0.000121126
9.633e-006,-0.000111532
9.634e-006,-0.000106735
9.635e-006,-0.000123525
9.636e-006,-0.000124724
9.637e-006,-0.000106735
9.638e-006,-0.000133119
9.639e-006,-0.00011513
9.64e-006,-0.000141514
9.641e-006,-0.000105536
9.642e-006,-7.43548e-005
9.643e-006,-0.000135518
9.644e-006,-9.35431e-005
9.645e-006,-0.000133119
9.646e-006,-0.000122326
9.647e-006,-0.000153507
9.648e-006,-0.000152307
9.649e-006,-0.000139115
9.65e-006,-0.000107934
9.651e-006,-0.00013072
9.652e-006,-0.000104337
9.653e-006,-0.000117528
9.654e-006,-0.000125923
9.655e-006,-0.000125923
9.656e-006,-0.000129521
9.657e-006,-0.000119927
9.658e-006,-0.000109134
9.659e-006,-0.000141514
9.66e-006,-0.000128322
9.661e-006,-0.00013072
9.662e-006,-0.000125923
9.663e-006,-9.95395e-005
9.664e-006,-0.000136717
9.665e-006,-0.000137916
9.666e-006,-0.000155905
9.667e-006,-0.000142713
9.668e-006,-0.000104337
9.669e-006,-0.000129521
9.67e-006,-0.000113931
9.671e-006,-0.000106735
9.672e-006,-0.000134318
9.673e-006,-0.000101938
9.674e-006,-0.00011513
9.675e-006,-0.000117528
9.676e-006,-0.000110333
9.677e-006,-0.000135518
9.678e-006,-0.000111532
9.679e-006,-0.000125923
9.68e-006,-0.000140315
9.681e-006,-0.000105536
9.682e-006,-0.000117528
9.683e-006,-9.71409e-005
9.684e-006,-0.000124724
9.685e-006,-0.000155905
9.686e-006,-0.000112731
9.687e-006,-0.00013072
9.688e-006,-0.000119927
9.689e-006,-0.000104337
9.69e-006,-0.000106735
9.691e-006,-0.00013192
9.692e-006,-0.000104337
9.693e-006,-0.000139115
9.694e-006,-0.000107934
9.695e-006,-0.000113931
9.696e-006,-0.00014751
9.697e-006,-0.000106735
9.698e-006,-0.000149909
9.699e-006,-0.000146311
9.7e-006,-0.000119927
9.701e-006,-0.000137916
9.702e-006,-0.000117528
9.703e-006,-0.000139115
9.704e-006,-0.000154706
9.705e-006,-0.000111532
9.706e-006,-0.00013072
9.707e-006,-0.000143912
9.708e-006,-0.000125923
9.709e-006,-0.000146311
9.71e-006,-9.59417e-005
9.711e-006,-0.000140315
9.712e-006,-0.000140315
9.713e-006,-0.000146311
9.714e-006,-0.000111532
9.715e-006,-9.95395e-005
9.716e-006,-0.000128322
9.717e-006,-0.000129521
9.718e-006,-9.11446e-005
9.719e-006,-0.000116329
9.72e-006,-0.000106735
