Temperatures,+-,Metastables,+-
1.299133621867317852e+05,1.518833121977086877e+06,1.370666709491169000e+15,8.337148638137703000e+15
1.295188399771474215e+05,1.297302315732519841e+06,1.423517994469958500e+15,7.422367271811819000e+15
1.305056552267041989e+05,1.268266660843254533e+06,1.383732755984257250e+15,6.994646261475173000e+15
1.309492865572978626e+05,1.160176107748276787e+06,1.482948828775216250e+15,6.835261855034908000e+15
1.369149969583333004e+05,6.953675654344554059e+05,1.459633086781634750e+15,3.828416058169307500e+15
8.782643995315610664e+04,5.287797218791141495e+04,1.738523063681146500e+15,4.043995440170838750e+14
6.904851455269132566e+04,3.444663711867829988e+04,1.896254001961005500e+15,1.973930124058028125e+14
7.783829184449971945e+04,4.608411209244307975e+04,1.961761353939877500e+15,3.419117060067911250e+14
6.455484715204725217e+04,3.514192549117599265e+04,2.146195451419582500e+15,2.118496629449214375e+14
9.152916993850814470e+04,7.064158329540082195e+04,1.940758657567698250e+15,6.204452591997796250e+14
1.440971937184252602e+05,4.711501950825540698e+05,1.520990380111725750e+15,2.528548872340877500e+15
9.912081849106642039e+03,7.724362838878642833e+03,1.067717832464882500e+15,3.318515633740939375e+14
6.181658687735205604e+03,3.427628875578487623e+03,8.845471098908626250e+14,1.850197880127055938e+14
4.856745035443576853e+03,2.507434872206066302e+03,7.911688390485362500e+14,1.522471727116886250e+14
4.443127260017469780e+03,2.255389424996999878e+03,7.335678569017236250e+14,1.387723699312492969e+14
3.541541359785586792e+03,1.591492599091222019e+03,6.668841252554040000e+14,1.128781499229530000e+14
4.261477772820454447e+03,2.101096224506043654e+03,6.741977800915086250e+14,1.239980456210569219e+14
6.148623252529571801e+03,4.073858911705515766e+03,7.282225390788050000e+14,1.819752262812944375e+14
5.862419992644994636e+03,3.782250881108453086e+03,7.588206810746340000e+14,1.839641096220327500e+14
1.185620031638610089e+04,1.264865886526485883e+04,1.036023227843957625e+15,4.519085898706041875e+14
1.382139892757099879e+05,6.969671407832098193e+05,1.562772582488571750e+15,4.061943361949460000e+15
1.526141453355308659e+04,1.941019351438813464e+04,1.294754041645483000e+15,6.964336003976356250e+14
1.271312667572063583e+04,1.378348335160233182e+04,1.187775114743722000e+15,5.315126396438319375e+14
7.077727282104573533e+03,4.417800926656349475e+03,9.317761907572395000e+14,2.222362457891155312e+14
5.140842906417165068e+03,2.343002274140952068e+03,8.519259538694263750e+14,1.449065379998811875e+14
4.870306563574861684e+03,2.349316209820576205e+03,7.808589598607633750e+14,1.403711938330854531e+14
3.909936834862626711e+03,2.052083786366907134e+03,6.517448993477502500e+14,1.280509567400698750e+14
4.034546882380314855e+03,2.317709492634436629e+03,6.565465526537378750e+14,1.409527891495375625e+14
4.814810580246826248e+03,3.240725938575566033e+03,6.757887731239750000e+14,1.695515893022893438e+14
8.045830393445432492e+03,8.297627336681865927e+03,7.948805867525803750e+14,3.181420306196966250e+14
1.314223637860343151e+05,1.493964887748304056e+06,1.509660190284000750e+15,8.920228204592582000e+15
1.313218913344645698e+05,1.473386278236272978e+06,1.540122359814684500e+15,8.985496863488001000e+15
1.310643543776214210e+05,1.426041442204101710e+06,1.592199359196891250e+15,9.007404401751460000e+15
1.303303181377600849e+05,1.463191695432398235e+06,1.589264641839572250e+15,9.281133504887662000e+15
1.287900110125825449e+05,1.305650806629279628e+06,1.587918600015389500e+15,8.382138948774680000e+15
1.275937546926069772e+05,1.036176853627210832e+06,1.602465278920211750e+15,6.777310885186547000e+15
1.294759427242127422e+05,1.109097412900667172e+06,1.628975013908325500e+15,7.263959916165345000e+15
1.308626599989540555e+05,1.065885906190397218e+06,1.696892550156460250e+15,7.189523801544057000e+15
1.323068869844118017e+05,1.054307141433247365e+06,1.588464514798497000e+15,6.575880150220949000e+15
1.009693538337776772e+04,9.142169973978408962e+03,1.009217754049821500e+15,3.654687729759057500e+14
9.242412028376387752e+03,7.788639350992422806e+03,1.003982883077506125e+15,3.342271073359521875e+14
1.072504580959717532e+04,1.084374896692181028e+04,1.034575487151279250e+15,4.217717670203165000e+14
9.618196358999315635e+03,8.135682556821309845e+03,1.012032961897991375e+15,3.399378949226453750e+14
1.235763915967576759e+04,1.189155709446010769e+04,1.117276063582572875e+15,4.420674962539431250e+14
1.360446348622296136e+04,1.386526574157431060e+04,1.124553256439529875e+15,4.774006227997871250e+14
1.368625985731268593e+05,7.631763249127623858e+05,1.422369541418585500e+15,4.100078202220035000e+15
1.321228123417578463e+05,1.205765622136609396e+06,1.411641277739124500e+15,6.694636165883150000e+15
1.590200142564130874e+04,2.331045391874646157e+04,1.057328142602058250e+15,6.587329189715432500e+14
1.705613098688763421e+04,2.800204415475576388e+04,1.152624057174833750e+15,8.110938900495068750e+14
1.315507776404241304e+04,1.719531697344125496e+04,1.102192036190428500e+15,5.976740177314907500e+14
