Temperatures,+-
8.069547585477115925e-01,-1.630705484303369701e+00
8.078617357960740097e-01,-1.633397199054164917e+00
8.087634799201487423e-01,-1.636073044633800100e+00
8.096599367613841469e-01,-1.638734402866625972e+00
8.105511024228101435e-01,-1.641380107470380656e+00
8.114372231066399044e-01,-1.644011322854628476e+00
8.123182642051930413e-01,-1.646627353057702470e+00
8.131941805204927487e-01,-1.649228307583501918e+00
8.140649545801887932e-01,-1.651814992465429954e+00
8.149309305391946312e-01,-1.654387207056306819e+00
8.157919038102117160e-01,-1.656944951374716313e+00
8.166480802322733101e-01,-1.659488364661734883e+00
8.174993312868104045e-01,-1.662017911335228026e+00
8.183457776453187948e-01,-1.664533344791345071e+00
8.191873467744225090e-01,-1.667034865202341232e+00
8.200243380663241322e-01,-1.669522258772596413e+00
8.208566475908267712e-01,-1.671995899484842507e+00
8.216843350962447223e-01,-1.674456131221885080e+00
8.225073660612570725e-01,-1.676903107643178181e+00
8.233256617150656043e-01,-1.679336275381604571e+00
8.241397641919737671e-01,-1.681756720931192328e+00
8.249491048979645802e-01,-1.684163687649248065e+00
8.257541482158925472e-01,-1.686557873928679285e+00
8.265546161563526173e-01,-1.688938153621829752e+00
8.273509269671732724e-01,-1.691306355696326813e+00
8.281427048136849045e-01,-1.693661555307284683e+00
8.289302549311419188e-01,-1.696003547364084429e+00
8.297134817664186812e-01,-1.698333774603770996e+00
8.304924068670891391e-01,-1.700650745090058980e+00
8.312672113927529471e-01,-1.702955354221833639e+00
8.320377808713737000e-01,-1.705248287611973224e+00
8.328042072402812579e-01,-1.707528460242261126e+00
8.335664112448002427e-01,-1.709796612888317080e+00
8.343246656421987595e-01,-1.712052595771891284e+00
8.350788542021992944e-01,-1.714296636117814465e+00
8.358289841381998375e-01,-1.716528370211173549e+00
8.365750932890406721e-01,-1.718748695286612449e+00
8.373172676617582910e-01,-1.720956895201212644e+00
8.380554874068691928e-01,-1.723154232978219014e+00
8.387897981222837140e-01,-1.725338566670187701e+00
8.395201618586317638e-01,-1.727512332934826977e+00
8.402466942261245242e-01,-1.729674566527357182e+00
8.409695624332074182e-01,-1.731825417410836954e+00
8.416884883061344080e-01,-1.733965062526020118e+00
8.424037126273362652e-01,-1.736093486593868418e+00
8.431151269199816944e-01,-1.738210660081301651e+00
8.438227709765675488e-01,-1.740316725072244219e+00
8.445267888225590491e-01,-1.742411907437617202e+00
8.452271999286286031e-01,-1.744496075420909786e+00
8.459240223397427316e-01,-1.746569335872335094e+00
8.466172079794258565e-01,-1.748631929497256765e+00
8.473067759169228275e-01,-1.750683861530769159e+00
8.479926976848655151e-01,-1.752725061095462111e+00
8.486750654039748598e-01,-1.754755473889837658e+00
8.493541904064447756e-01,-1.756775499039608279e+00
8.500295562342129463e-01,-1.758785049111692533e+00
8.507016619112311995e-01,-1.760784398137921425e+00
8.513701790117191859e-01,-1.762773388681273978e+00
8.520352526443649710e-01,-1.764752416372492805e+00
8.526970779857282468e-01,-1.766720468308072611e+00
8.533553944079668163e-01,-1.768679283608585173e+00
8.540104445986614889e-01,-1.770627336039721555e+00
8.546622660383658143e-01,-1.772566018579943448e+00
8.553107643392700021e-01,-1.774494478410566511e+00
8.559558239376029443e-01,-1.776413254860366608e+00
8.565978199816191019e-01,-1.778321567184349972e+00
8.572363760932119048e-01,-1.780220882699858009e+00
8.578719626590611824e-01,-1.782110230757839808e+00
8.585042365833065459e-01,-1.783989552419895652e+00
8.591332233194236556e-01,-1.785859546179291435e+00
8.597593032174717376e-01,-1.787720829214589413e+00
8.603820815568008484e-01,-1.789572107849597193e+00
8.610018076162224698e-01,-1.791413210106138632e+00
8.616185127520222808e-01,-1.793246079540590898e+00
8.622319673951009955e-01,-1.795069228754959001e+00
8.628425838351793109e-01,-1.796883112582912778e+00
8.634501430554721857e-01,-1.798687660809003885e+00
8.640545715252546666e-01,-1.800483957381360245e+00
8.646561734248039421e-01,-1.802270093731914269e+00
8.652546935205432943e-01,-1.804047415371544227e+00
8.658503398984955801e-01,-1.805816453590679105e+00
8.664430218250884774e-01,-1.807576313504993371e+00
8.670327946028790755e-01,-1.809326969985493472e+00
8.676196768076425148e-01,-1.811069226156993617e+00
8.682036025725601291e-01,-1.812802417513397657e+00
8.687848429477565970e-01,-1.814526814041082403e+00
8.693631631885444522e-01,-1.816242961321445692e+00
8.699386590214343018e-01,-1.817950690353322907e+00
8.705112764978227835e-01,-1.819649235000658560e+00
8.710812216563957877e-01,-1.821339328744023156e+00
8.716484412230355305e-01,-1.823021379283020993e+00
8.722128475343314813e-01,-1.824695059301363997e+00
8.727745230368445517e-01,-1.826359725162670866e+00
8.733334846997975465e-01,-1.828016403250500410e+00
8.738896643219402627e-01,-1.829664935835192408e+00
8.744432251163593017e-01,-1.831305318367145052e+00
8.749942541273558749e-01,-1.832937256819370919e+00
8.755424248146073118e-01,-1.834561652965017942e+00
8.760881253585185435e-01,-1.836177578587539383e+00
8.766311146278127353e-01,-1.837785376862463682e+00
8.771715260751427046e-01,-1.839385394297639476e+00
8.777093306165160147e-01,-1.840976900504731617e+00
8.782447001373330231e-01,-1.842560807524997291e+00
8.787772732680867449e-01,-1.844137148581990404e+00
8.793075326130805891e-01,-1.845705083681865588e+00
8.798350540848425272e-01,-1.847265878133969252e+00
8.803602800943405304e-01,-1.848818638625245869e+00
8.808828369915877587e-01,-1.850363155180568153e+00
8.814028256693386965e-01,-1.851900233393123374e+00
8.819206323583427265e-01,-1.853429668324433344e+00
8.824358073048059747e-01,-1.854951705819582131e+00
8.829485334882190006e-01,-1.856465929791348168e+00
8.834588242274882264e-01,-1.857973125327484265e+00
8.839666927329737911e-01,-1.859472278646638665e+00
