Temperatures,+-
4.212436658393830524e-01,-7.961347987082734168e-01
4.203908132258659114e-01,-7.975047498474815422e-01
4.195033366872821801e-01,-7.987890640271325671e-01
4.185827892414983875e-01,-7.999895307321700511e-01
4.176303974407075681e-01,-8.011078100270979663e-01
4.166474525446781096e-01,-8.021454517050604638e-01
4.156353234668496710e-01,-8.031040001367196757e-01
4.145955222700400400e-01,-8.039850652059807867e-01
4.135294447069039481e-01,-8.047899891393781591e-01
4.124386835550832298e-01,-8.055204190879444726e-01
4.113247798210140083e-01,-8.061777542786522366e-01
4.101893796603039433e-01,-8.067634116533893840e-01
4.090340562907970878e-01,-8.072788786572728803e-01
4.078604530350734003e-01,-8.077256663226149991e-01
4.066701483233294279e-01,-8.081052785334198463e-01
4.054647961957389413e-01,-8.084192268184868801e-01
4.042459274819253934e-01,-8.086690571362011859e-01
4.030150964394966784e-01,-8.088563489779314608e-01
4.017738811648562391e-01,-8.089825720546861554e-01
4.005237350478350611e-01,-8.090493655724597666e-01
3.992660910276588648e-01,-8.090585705344365275e-01
3.980023629714696254e-01,-8.090116448986552911e-01
3.967339038052771771e-01,-8.089101903033494301e-01
3.954620114518951901e-01,-8.087560608097833503e-01
3.941879471851860717e-01,-8.085508909445791037e-01
3.929128930831648492e-01,-8.082963212903223615e-01
3.916379913851791850e-01,-8.079940400083792662e-01
3.903643003164722902e-01,-8.076458886159902928e-01
3.890929133091147740e-01,-8.072536721320922037e-01
3.878247304419120689e-01,-8.068189029287725633e-01
3.865607083298416291e-01,-8.063433353756138677e-01
3.853016575733617111e-01,-8.058286854314441472e-01
3.840484364861089794e-01,-8.052767450251326897e-01
3.828015637050891096e-01,-8.046890446411111286e-01
3.815611817328750655e-01,-8.040673464919124713e-01
3.803274435971230605e-01,-8.034131830891197978e-01
3.791005750848313594e-01,-8.027281910190368075e-01
3.778808299702101081e-01,-8.020137854859611393e-01
3.766684189507067404e-01,-8.012714749678366832e-01
3.754637540990180544e-01,-8.005028133127608525e-01
3.742670451187549707e-01,-7.997091184580358281e-01
3.730786420698606887e-01,-7.988920445483856936e-01
3.718989031247275090e-01,-7.980526570267318931e-01
3.707281631755696139e-01,-7.971925309667581283e-01
3.695667190905075894e-01,-7.963129818986930397e-01
3.684149169530831491e-01,-7.954152251381995109e-01
3.672730772176319158e-01,-7.945006456912140358e-01
3.661415207870132305e-01,-7.935706138531545273e-01
3.650205165433075272e-01,-7.926261731671986333e-01
3.639103644204519927e-01,-7.916685781787335952e-01
3.628113470124107454e-01,-7.906990863650203982e-01
3.617237527521718898e-01,-7.897188036190718741e-01
3.606477551649992508e-01,-7.887288188204373274e-01
3.595836031985490400e-01,-7.877303827415502724e-01
3.585315009981656642e-01,-7.867245019710276122e-01
3.574916348737664507e-01,-7.857120585307435512e-01
3.564641732144223085e-01,-7.846942118391482257e-01
3.554492650129404407e-01,-7.836718878517977549e-01
3.544470476606830789e-01,-7.826460584940111431e-01
3.534576343066015980e-01,-7.816176665109973998e-01
3.524811177470927870e-01,-7.805874824602533346e-01
3.515175742666077352e-01,-7.795563875995323855e-01
3.505670840564777402e-01,-7.785252297294562585e-01
3.496297202691815986e-01,-7.774947971725174600e-01
3.487054695559935191e-01,-7.764657160779453449e-01
3.477943727571065069e-01,-7.754387977658161457e-01
3.468964149222624749e-01,-7.744148605042975309e-01
3.460114501268296561e-01,-7.733945004428396386e-01
3.451394239726695568e-01,-7.723788029242177888e-01
3.442802505138286562e-01,-7.713683116406910845e-01
3.434338514224710703e-01,-7.703638526858814783e-01
3.426001872222021460e-01,-7.693662105884788716e-01
3.417792063628727339e-01,-7.683759265549888751e-01
3.409708565552205251e-01,-7.673937350520875222e-01
3.401751178094004624e-01,-7.664200515870714936e-01
3.393919547666791048e-01,-7.654555229039318176e-01
3.386213464163795872e-01,-7.645006745098357204e-01
3.378632215185566334e-01,-7.635560364152421675e-01
3.371175612099138741e-01,-7.626219160096573413e-01
3.363843114081078167e-01,-7.616989427518682243e-01
3.356634593634924002e-01,-7.607873090779316838e-01
3.349549743034816451e-01,-7.598874918021009117e-01
3.342587633105216782e-01,-7.589997272783797211e-01
3.335747802486485614e-01,-7.581244362482641996e-01
3.329029835193209608e-01,-7.572617182542688008e-01
3.322432961834400067e-01,-7.564119919118301727e-01
3.315956514053204351e-01,-7.555755058441457894e-01
3.309599754576453834e-01,-7.547522393715035971e-01
3.303361889811656793e-01,-7.539424956262399391e-01
3.297241994876146665e-01,-7.531463690613026118e-01
3.291239240019138146e-01,-7.523641088118446785e-01
3.285352706690536362e-01,-7.515956913840887710e-01
3.279581322928579734e-01,-7.508411331583293435e-01
3.273923899787049563e-01,-7.501006611790937972e-01
3.268379599523527079e-01,-7.493742557654597958e-01
3.262947042517456708e-01,-7.486617608771672927e-01
3.257625108305426953e-01,-7.479634990128202210e-01
3.252412560886318582e-01,-7.472791829243452533e-01
