388,396,447,492,501,587,667,706,728
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.200522242614802107e-06,6.317406655064332621e-10,2.959302476408659084e-08,9.604295531075404854e-09,1.307846984770696908e-08,2.872316855460057324e-06,8.638991447215653102e-07,4.195605791973384480e-05,2.093515866786737444e-06
6.367992006335291923e-06,1.182612928765523033e-09,3.843388425447839115e-08,1.198305852033265958e-08,2.150947531455676929e-08,3.324302446539680545e-06,9.893867074240036895e-07,4.464162259128554830e-05,2.186567475567791831e-06
1.001723361198644403e-05,3.053645764666238156e-09,7.846991154970348021e-08,2.359794846404744079e-08,5.216571222652654037e-08,6.083221039759580425e-06,1.789174346421905697e-06,7.375697814097612363e-05,3.522848895368740956e-06
1.212669268611560498e-05,5.237745036292413812e-09,1.183235181691760706e-07,3.471923752823045273e-08,8.739983101415505627e-08,8.502401203745241958e-06,2.475885039972808791e-06,9.398102963369009432e-05,4.375599410947927551e-06
1.447333015994646256e-05,8.150844135985822134e-09,1.700867808440507848e-07,4.905336139043678822e-08,1.351050967618651297e-07,1.160595839740719001e-05,3.351503527228116346e-06,1.181499110146758981e-04,5.364264182455363558e-06
1.677555374028667434e-05,1.161928958806916806e-08,2.303083491463498981e-07,6.561111036200424584e-08,1.931047999382143431e-07,1.519908566760337003e-05,4.358749711257612254e-06,1.440656184194841574e-04,6.387306205248079204e-06
1.914885424603277085e-05,1.563591702514137902e-08,2.993449457880635958e-07,8.452289685487995493e-08,2.620646472384919477e-07,1.936529771768781869e-05,5.521298508025590628e-06,1.726006296657591702e-04,7.486372993720349627e-06
2.163389360901878347e-05,2.016866080748636625e-08,3.769447736948205329e-07,1.057372076395681473e-07,3.422818472608558612e-07,2.414442586236301760e-05,6.849842301199849874e-06,2.040768021163199002e-04,8.676875684997175658e-06
2.426984361931921205e-05,2.519444180812862019e-08,4.629971984950588387e-07,1.292395807825426343e-07,4.342508540324780374e-07,2.958584067542820224e-05,8.357549123337060270e-06,2.388407115526981208e-04,9.974620658317471703e-06
2.709047940913717129e-05,3.069371810619404214e-08,5.574378151919673209e-07,1.550264389279399481e-07,5.385751275538746334e-07,3.574290342718299581e-05,1.005849736301505536e-05,2.772215532469508230e-04,1.139412223478726701e-05
3.012717137641928605e-05,3.665048956939060944e-08,6.602583793953970514e-07,1.831085803402990737e-07,6.559687397373510168e-07,4.267415607552516260e-05,1.196803698356635886e-05,3.195503895713838749e-04,1.294959095542785834e-05
3.341013642032843032e-05,4.305171220464764816e-08,7.715020698917791907e-07,2.135102936279697013e-07,7.872472243685132778e-07,5.044336521202570590e-05,1.410281691283467160e-05,3.661663073232108967e-04,1.465530227380234030e-05
3.696945300032117163e-05,4.988714085253923077e-08,8.912644851419576051e-07,2.462699168383884010e-07,9.333253607724377303e-07,5.911981098276930963e-05,1.648087637723361529e-05,4.174224754941145980e-04,1.652592076700583530e-05
4.083542738215025685e-05,5.714881934554543940e-08,1.019687041048933153e-06,2.814381996913311284e-07,1.095207951677602697e-06,6.877799554524226808e-05,1.912157098824610396e-05,4.736867488577937188e-04,1.857657906637546030e-05
