Temperatures,+-,Metastables,+-
4.220564616230323008e+04,3.956035628323692945e+05,-1.743380501600947000e+15,5.898473824355340000e+15
4.367009613562736922e+04,3.818346555052878684e+05,-1.684542584857334500e+15,5.095080385949557000e+15
1.457255079150985750e+02,4.931366455148977934e+02,2.524962739623320000e+14,3.341293842970006250e+14
4.073134164900900214e+04,5.119820784801904229e+05,-1.385786501073883250e+15,6.532574140410306000e+15
4.192002893838738964e+04,5.234912717969139921e+05,-1.318823743674020250e+15,5.991075569534044000e+15
4.719160792945004505e+04,4.463433522538749967e+05,-1.419961590178211250e+15,4.115733812576932500e+15
4.575988967119755398e+04,4.811124964150596643e+05,-1.285070114222068000e+15,4.363482156414188500e+15
4.012877857636512636e+04,1.103273895722071873e+06,-6.600957753570715000e+14,6.904145928369331000e+15
7.484538457701655716e+02,8.279745937404773940e+03,-1.077707734624531250e+14,4.923396787807460000e+14
1.012477381299063040e+03,1.289519757954219494e+04,-9.538867784343429688e+13,5.048530735390688125e+14
9.440469934793436551e+03,4.007377353262500837e+05,-1.395091185010117500e+14,2.347804262909676000e+15
2.594314538697813532e+03,1.382062020150643366e+04,-2.886961010651436875e+14,5.992786783635646250e+14
2.215896967528861751e+03,1.254194636478087705e+04,-2.397876081156405000e+14,5.389872574322133750e+14
2.235650789853575134e+03,9.388143330396384044e+03,-3.170364194664591250e+14,5.281580699365052500e+14
1.310286647684752097e+05,1.313207795178539492e+07,-1.106720913826726000e+15,5.769910284563372000e+16
1.265061621764882148e+03,1.568121671602255446e+04,9.988161995234132812e+13,5.128121349942131250e+14
2.002758139783841784e+02,2.931910564361952765e+03,-5.596552402641243750e+13,3.246740023766388750e+14
1.868121099340856688e+02,2.444959367007772471e+03,-6.019739282928478906e+13,3.110985206603014375e+14
1.412001476357870388e+03,9.157339212798198787e+03,1.755846016461858125e+14,4.694835201421836875e+14
1.201573708208032031e+03,7.384131750128856766e+03,1.741928739817528438e+14,4.439630726351688125e+14
1.306546110705526416e+03,6.023358280285989167e+03,2.603533757771085625e+14,4.969451489399551875e+14
1.871552335275621317e+03,1.026506687679699280e+04,2.931851918847203750e+14,6.506659260920963750e+14
1.021171375545087159e+02,1.637445978864487870e+03,-5.358307870910205469e+13,3.284072606719319375e+14
1.145342253779584496e+02,5.036889343863857675e+02,-2.081171246769124062e+14,3.517297837087233750e+14
7.912829077466632555e+01,2.433054973057471955e+02,-2.474747153528494688e+14,2.856284314233126250e+14
8.383364339077270699e+01,2.461819317202739796e+02,-2.369704947182208438e+14,2.621193571538196250e+14
5.760382200400821375e+02,1.451455690511830880e+03,-3.605552711738468125e+14,3.724099407603948750e+14
1.805391746384203543e+03,9.129798163961337195e+03,-2.366989399313328125e+14,4.856314427043599375e+14
2.130592106015822992e+03,7.689865483928792855e+03,-3.845819650079174375e+14,5.537033903665009375e+14
1.412217723279423808e+03,4.579626472372272474e+03,-3.604855533428339375e+14,4.814255123525416250e+14
1.311998000303391109e+03,3.250186043068772506e+03,-4.855491374784772500e+14,4.973115974539878750e+14
5.695014843857310325e+02,1.324689259801523576e+03,-4.093241330343433125e+14,3.903303342406949375e+14
4.385106155796643748e+02,1.298567163784029617e+03,-2.974152826370515000e+14,3.583613732364087500e+14
6.223956624270634848e+02,1.326033764283969049e+03,-4.314847061981521875e+14,3.774632313744262500e+14
7.470559011648178966e+02,2.221754202333046123e+03,-3.208873234734285000e+14,3.937192407881843125e+14
8.603188933975026202e+02,2.133890695904303811e+03,-4.048048532750771875e+14,4.151950244486823750e+14
